,상품명,정보,특징,맛_음식
53,고운달 백자,고운달은 오미자를 원료로 한국와인의 새로운 지평을 연 위스키 마스터 블랜더 이종기 장인에 의해 탄생한 프리미엄 증류주이다. 오미자 브랜디 고운달은 친환경 오미자로 3년을 발효 숙성한 오미자와인을 증류한 이후 추가로 3년을 숙성한 제품이다. 오미자가 가진 5가지 맛인 단맛 쓴맛 매운맛 짠맛 신맛 모두 은은하게 느껴지는 한국적인 브랜디이다.," 마스터 블랜더 이종기 명인의 양조기술 결정체 고운달 백자는 한국 최초의 위스키 마스터블랜더 이종기 명인의 36년간 쌓아온 양조 기술을 집약한 최고급 증류주이다. 한국 전통 문경도자기에서 숙성하여 오미자 본연의 맛과 향이 그대로 살아 있는 맑고 투명한 제품이다. 오미자를 수확하여 3년이라는 발효, 숙성과정을 거친 후 증류하여 다시 3년을 문경도자기에서 숙성한 제품이다. 2017년 대한민국 우리술품평회 증류주 부문에서 대상을 수상하며 뛰어난 품질을 인정 받았다.,  엄선된 친환경 오미자로 빚은 명주 고운달 백자의 원료인 오미자는 천연의 다섯 가지 맛을 담아 절묘한 균형을 이루고 있어 라틴어로 The maximowiczia Typica 즉 최상의 맛이라는 뜻을 담고 있다. 천연의 선홍색으로 매력적인 색조와 잘 익은 오미자에서 퍼지는 은은한 스파이스향, 그리고 오미자 특유의 5가지 맛이 어우러져 있다. 오미자는 문경이 재배의 최적지이며 옛 문헌에서도 문경의 지역특산물로 전해지고 있다.,  2016년 찾아가는 양조장으로 선정 제조사 농업회사법인(주)제이엘(오미나라)는 2016년 농림축산식품부에서 지원육성하는 찾아가는 양조장에 선정되었다. 와이너리 견학과 다양한 체험을 경험할 수 있다. 와인의 문화와 에티켓을 배워보는 와인 에티켓, 스파클링와인과 증류주의 제조 기법 등 교육 프로그램 등이 준비되어 있다.","고운달 백자, 500ml / 200ml, 52% 코 속부터 시작되는 잔잔한 오미자향, 머금고 난 이후에 뱃속에서 올라오는 은은한 오미자의 맛. 향과 맛 모두 일품이다. 술맛을 방해하지 않는 가벼운 샐러드나 견과류, 육포 등이 좋다. 소량을 마시더라도 얼음이나 탄산 등은 추가하지 않고 본연의 맛을 즐기기를 추천해 본다."
54,옛날 막걸리 古,토속적인 짙은 볏짚색상의 옛날 막걸리 古는 우리 정통 막걸리임을 한눈에 느껴지게 하고 있다. 병 뚜껑을 열면 우리 정통 누룩에서 기인하는 다양하고 풍부한 향을 맡을 수 있으며 그 맛 또한 깊고 진해 우리 전통 옛 막걸리의 맛을 느낄 수 있다.," 전통 밀누룩을 사용한 막걸리 일반적으로 대중 막걸리에 사용하는 쌀누룩(코지)을 사용하여 빚는 맛과는 다르게, 정통 누룩(밀누룩)을 사용한 정통 막걸리로 단순하고 깔끔한 맛이 아닌 풍부하고 다양한 맛이 특징인 막걸리다.  자연발효를 통해 구현하는 전통의 맛 원료(누룩, 쌀) 자체로 맛과 향을 내는 옛날 막걸리 古는 인위적 풍미의 느낌과는 다른 맛을 가지고 있으며, 오로지 누룩에 있는 천연 유산균과 효모 및 기타 미생물들의 자연적인 발효를 통해 맛을 구현하는 정통 막걸리다. 막걸리를 빚을 때, 덧담금 전에 미생물을 최대한 증식해서 덧담금을 진행하는 자연적인 발효기술로 담금시 누룩의 미생물을 최대한으로 이용하고 있다.",연한 갈색빛의 색깔을 가지고 있으며 산뜻하면서도 고소한 향이 물씬 올라온다. 단맛 보다는 신맛이 도드라지며 산미로 인해 침이 고이고 목넘김은 매우 가볍다. 술을 마시고 난 후에 옅은 쓴맛이 혀에 남아 여운을 길게 한다. 오리 주물럭과 잘 어울린다.
55,선운산 복분자주,비옥한 땅에서 서해바다의 해풍을 맞으며 소금기를 가득 머금은 고창의 복분자는 당도와 품질이 뛰어나기로 소문이 나있다. 이러한 전북 고창의 1등급 선운산 복분자만을 엄선하여 30일 이상 발효하고 1년 이상 숙성 시킨 선운산 복분자주는 기존의 알코올주정에 과실을 담아 희석하는 리큐르주와는 달리 복분자 특유의 색과 향 맛이 그대로 살아 있다. 100% 복분자 원액을 그대로 발효시켜 풍미가 뛰어나다.," 국내산 복분자 100%로 제대로 발효하고 숙성한다. 선운산 복분자주는 냉동된 복분자과실을 해동하여 발효하는 것이 아닌 엄선된 복분자를 바로바로 생과 상태로 공동 사용하는 효모가 아닌 고유의 것을 이용하여 장기간의 발효와 숙성단계를 거쳐 복분자 특유의 색과 향, 그리고 맛이 그대로 살아있는 선운산 복분자주가 생산된다.,  해풍 맞으며 자란 새콤달콤한 고창 복분자 지리적 표시 3호로 등록된 고창의 비옥한 토질에서 생산된 복분자가 선운산 복분자주의 근간이다. 전북 고창은 복분자의 고향이라고 불려도 손색이 없을 만큼 최상급의 복분자가 재배되고 있는 지역이다. 서해에서부터 시작된 해풍을 맞아 비옥한 땅에 자리잡고 영글어가는 새콤달콤한 맛이 일품인 1등급 복분자는 타 지역에 비해 수확시기가 빨라 품질 좋은 복분자를 가장 먼저 만나 뵐 수 있는 곳이다.,  복분자이야기, 요강을 뒤엎다. 옛날 한 부부가 대를 이을 자식이 없어 고민하던 중 노년에 아들을 하나 두었는데 너무 병약하였다. 좋다는 약은 모두 구하여 먹여 보았지만 효과가 없었다. 그러던 중 지나가던 선운사의 주지 스님이 산속의 검은 딸기를 권하였고 날마다 검은 딸기를 부지런히 먹였더니 놀랍게도 아들은 건강해졌다. 그 아들이 얼마나 건강했는지 소변을 보면 소변줄기가 요강을 뒤엎어 버릴 정도였다고 한다. 하도 신기한 나머지 사람들은 이 약재의 이름을 복분자(覆盆子)라고, 즉 요강을 뒤엎는 과실이라고 지었다는 유래가 있다.","선운산 복분자주, 375ml, 16% 진하지 않은 맑은 느낌의 색이 자연스럽게 느껴지며, 신맛이 주는 새콤함이 청량감을 더한다. 다재다능한 식중주라는 판단. 달콤함과 새콤함의 조합이 좋은 복분자주. 보양식을 생각한다면 장어구이가 잘 어울릴 것이며, 달콤한 맛이 있는 만큼 디저트주로도 좋다. 의외로 치즈와도 좋은 궁합. 다재다능한 식중주다."
56,원매,제조사 더한에서 제조하는 매실주는 특별하다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용한다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 제품을 만든다는 제품 철학으로 황매를 이용한다. 또한 천연꿀을 첨가하여 숙취 해소에 도움이 되어 음주 후 머리가 아프지 않은 것이 특징이다. 원매는 황매실 100%로 3년 이상 숙성 시켜 매실청으로 만든 프리미엄 매실주이다. 국내외 주류품평회에서 수많은 수상 기록이 말해주듯 원매의 제품력은 단연 최고이다.," 좋은 재료, 좋은 사람, 좋은 제품 더한주류는 최상의 원료로 정직과 정성으로 최상의 제품을 만든다는 철학을 고집한다. 한씨 집안에 선대로부터 내려오는 제조방법으로 국내 최초의 황매실과 매실청, 천연 꿀을 가미한 매실주를 현대적인 시스템을 기반으로 탄생시켰다. 두산에서 백화수복 처음처럼 등의 성공작을 만든 박경준 고문과의 조우를 통해 국내 최초의 황매실과 매실청, 천연꿀을 가미한 원매를 탄생시켰다.,  변함 없는 재료에 대한 철학 원매는 황매실 100%를 고집하여 만들어진다. 수확의 어려움, 보관의 까다로움을 기꺼이 껴안으며, 재료에 대한 철학을 확고히 하고 있다. 수확의 어려움을 자체적으로 가지고 있는 매실 밭에서 해결하고 보관의 까다로움을 급속냉동방식의 특허로 혁신하였다. 번거로움이 따라 타 업계들이 청매실을 사용할 때에도 더한주류는 그 번거로움을 마다치 않으며 최고의 원료만을 사용하고 있다.  높은 주세를 감수하고 지켜는 품질 우리나라 주세법상 과실주는 과실을 발효한 술이다. 매실은 당이 적어 발효가 안되어 리큐르로 구분되어 72%의 주세율이 부과되는 반면, 과실주는 30%의 주세율이 부과되기에 국내의 타 매실주는 기타 과실주에 매실주를 첨가하여 과실주로 제조한다. 그러나 원매는 높은 주세를 감수하면서도 좋은 술, 양질의 매실주를 고객에게 전하고자 하는 신념 하나로 정통 매실주를 만들고 있다.  4. 국내외 주류품평회 수상, 수상, 또 수상 대한민국 우리술품평회 리큐르 부문 최우수상(2014), 대상(2016) 수상, 대한민국 주류대상 리큐르 부문 2년 연속 금상 수상(2015, 2016), 세계 3대 주류품평회 몽드셀렉션 3년 연속 금상 수상, 샌프란시스코 주류품평회(SWSC) 2년 연속 은상 수상, 영국 주류품평회(IWSC) 은상 수상(2014) 등 원매를 생산하는 더한주류의 국내외 수상 기록은 즐비하다. 한국을 넘어 세계인이 인정한 매실을 활용한 제품력이 빛을 발하고 있다.","원매, 750ml, 15% 황매실을 이용해 맑은 호박색을 가지고 있으며, 매실의 신선한 향이 가득한 것이 특징이다. 도수가 낮아 누구라도 편하게 즐길 수 있으며 처음 단맛이 올라오지만 뒤에 따라오는 신맛과 적절한 쓴맛의 조화가 잘 갖춰진 술이다. 입 안의 느낌이 매우 따뜻하고 마시고 난 후에는 여운이 길다. 숙주 소고기 볶음 등 약간의 양념이 된 깔끔한 음식과 잘 어울린다."
57,한산소곡주,한산소곡주는 백제 1500년의 오랜 역사와 전통을 고스란히 담아 전해 내려오는 전통주다. 현재 며느리인 우희열 명인이 1979년 충남 무형문화재 3호로 인정받은 故 김영신 여사에게 전수받아 그 명맥을 계승해오고 있다. 찹쌀과 누룩을 주원료로 들국화 메주콩 생강 홍 고추 등의 조화 속에 100일간 숙성을 하여 빚어지는 전통주인 한산소곡주는 감미로운 향과 특유의 감칠맛 때문에 취하면 자리에서 일어설 줄 모른다고 하여 ‘앉은뱅이 술’이란 이름으로도 불린다.," 의자왕의 음란과 향락의 원인?, 삼국사기 백제본기(百濟本記)에는 다안왕(多晏王) 11년(318년)에 흉작이 되자 나라에서 술 제조를 전면 금지했는데 이 술이 한산 소곡주로 추정된다. 무왕 37년(635년)에는 신하들과 백마강 고란사 부근에서 소곡주를 마시며 그 흥이 극에 달했다는 기록이 있고 의자왕 16년(656년)에는 임금이 궁녀들을 데리고 음란과 향락에 빠져 소곡주 마시기를 그치지 않았다고 언급되어 있다.,  도둑도 잡는다는 소곡주, 조선시대 때 한양에 과거를 보러 가던 선비가 목이 말라 인근 주막에서 소곡주를 마셨는데 그 맛에 시간가는 줄 모르고 결국 과거를 치르지 못했다는 일화와 한 도둑이 남의 집에서 소곡주를 몰래 마시다 취해 다리가 풀려 주저 앉았다는 일화 등 술 맛에 취하면 자리에서 일어설 줄 모른다라는 이야기가 전해져 내려오며  ‘앉은뱅이 술’이란 별명을 얻었다.,  긴 시간 쌓아온 이름값, 1997년 작고한 故 김영신 여사에게 소곡주 제조 기술을 전수받은 우희열 명인은 현재 아들인 나장연 전수자를 통해 소곡주의 전통과 역사의 맥을 이어가고 있다.  4. 100일간의 숙성기간 한산소곡주는 깨끗한 찹쌀로 고두밥을 지어 누룩과 함께 말린 국화, 생강, 엿기름 등을 섞어주고 밑술을 넣어 발효시키는데 이때, 부정을 타지 말라는 의미에서 홍 고추를 함께 세워 꽂는다. 이후 100일간의 긴 시간 동안 숙성시키면 곡주 그대로의 깊은 맛과 감칠맛이 난다.","한산소곡주 700ml, 18% 곡물을 이용한 발효와 오랜 숙성으로 진향 발효향이 강하게 올라오고 달콤한 홍시와 수정과를 먹는 듯하다. 단맛은 강하나 산미가 적어 왜 앉은뱅이 술이라 하는지 알 수 있다. 쭈꾸미볶음과 잘 어울린다."
58,명품 진도홍주,고려 초부터 빚기 시작한 진도 홍주는 임금에게 올려졌던 진상품 중 으뜸으로 천년을 간직한 지역의 대표적 전통주이다. 1994년에 전라남도 무형문화재 제26호로 지정되었다. 화끈한 맛과 그 화려한 빛깔 때문에 한눈에 반하고 마는 천년 전통의 명주인 진도 홍주는 쌀이 신비의 영약으로 불리는 한약재 지초(芝草)와 만나 미(味) 향(香) 색(色)을 고루 갖춘 고품격 명주로 특히 주재료인 지초는 동의보감 본초강목에서 강장 해독 청열 등에 효과가 있다고 전해오며 예부터 민간에서는 지초를 산삼에 못지않은 신비한 약초라고 불렀다.," 지초의 붉은빛이 감도는 매력적인 술 술의 색상이 지초에서 용출되어 붉은색이 아름답게 착색되어 시각적인 매력을 느끼게하고 동시에 술맛과 향이 전통증류주의 독특한 향기를 지니고 있다. 지초 추출액은 예로부터 상처, 화상치료 등 연고제로 활용되고 항균작용이 우수하여 염료로 사용되기도 하였다. 한방 약리작용 분석에 의하면 알콜해독작용(간장), 위장관에 정장작업, 설사, 변비, 복통, 체중조절, 식중독 등에 효험이 있으며 특히 고혈압, 신경통, 심장병 등에 좋다. 때문에 진도홍주는 높은 알코올 도수에도 불구하고 숙취가 적은 술로 알려져 있다.  진도홍주에 얽힌 일화 진도홍주는 왕에게 진상하는 최고의 술로 꼽혔고, 세조 때는 경상절도사 허종의 부인 청주한씨가 홍주의 주조 비법을 알고 집안에서 자주 빚었다고 한다. 성종이 윤비를 폐출하기 위하여 어전회의를 소집하였으나 독한 홍주를 많이 마신 허중이 취하여 출사 중 사직교에서 낙마하는 바람에 입궐하지 못한 까닭으로 후일 윤비의 소생인 연산군의 보복으로 갑자사화가 일어났으나 허중만은 그 화를 면할 수 있었다는 일화가 전해 내려오고 있다.  2015년 찾아가는 양조장으로 선정 제조사 대대로영농조합은 2015년 농림축산식품부에서 공모하는 찾아가는 양조장 사업에 선정 되었다. 찾아가는 양조장 사업은 전통주 제조사의 환경을 개선하고 전통주 체험 프로그램과 지역 관광자원을 결합하여 전통주 양조장을 지역의 명소로 육성하는 사업이다. 제조하는 제품의 우수한 품질과 관광자원화 할 수 있는 요건을 갖춘 제조사를 심사하여 매년 선정하고 있다. 그만큼 진도홍주를 생산하고 있는 대대로영농조합의 역량을 인정하는 것으로 진도홍주를 체험하고 진도의 자연을 만끽할 수 있는 다양한 프로그램을 마련하고 있다.","명품 진도홍주 375ml, 38% 지초를 이용해 아름다운 루비가 되었다. 뿌리식물에서 나는 신선한 향이 올라온다. 알코올도수가 높지만 입 안에서는 매우 부드럽고 입술과 혀를 자극시키지 않는다. 목넘김이 깔끔하고 박하와 같은 느낌이 든다. 조개찜 등과 잘 어울린다."
59,청명주 500,수백 년을 이어져 내려온 재래 전통비법으로 빚은 청명주는 그윽한 향기와 독특한 감칠맛이 그대로 살아 숨쉬는 술이다. 중원당 청명주는 100% 국내산 원료만을 사용하여 술을 빚으며 찹쌀과 누룩 소맥분을 제외한 일체의 인공감미료나 첨가물을 넣지 않고 저온에서 오랜 기간 발효 숙성한다. 17%의 알코올에 색과 향 그리고 맛이 뛰어나다.," 청명(淸明), 이름처럼 맑고 깨끗한 약주 청명(淸明)은 춘분과 곡우 사이에 들어 있는 24절기의 하나로 양력으로 4~5월에 해당한다. 농사일을 시작하는 때 빚어 농경이 한창인 곡우, 입하 무렵에 농주로 음용하였다. 조선시대 한강 상류의 범선 집결지인 충주 지방 일대를 오가는 과객들이 즐겨 마시기 시작하여 옛 사대부가 손님접대용은 물론 명절과 기일에 제주로 애용되었고 궁중에 진상하기도 하였다. 청명주는 도소주, 신도주, 국화주와 함께 대표적인 절기주의 하나이다.  옛 문헌에서 전하는 청명주 청명주의 빚는 방법은 \주방문\ \음식보\ \임원경제지\ \양주방\ 등에 술 빚는 법을 소개하고 있다. 이익은 \성호사설\에서 나는 평생 청명주를 가장 좋아하며 청명주의 양조 방법을 혹시나 잊어버릴까 두려워서 기록해 둔다고 적었으며, 이규경은 \청명주변증설\에서 청명주는 우리나라 금천 사람만이 만들 수 있으나 금천의 물이 아니면 이룰 수 없으며 다른 지방에서는 모방해도 이와 같이 않다며 청명주만의 매력을 소개하고 있다.  2015년 찾아가는 양조장으로 선정되다 청명주를 생산하고 있는 제조사 중원당은 2015년 농림축산식품부에서 선정하는 찾아가는 양조장에 선정되었다. 찾아가는 양조장은 양조장 문화체험과 지역관광을 연계하는 전통주문화체험관광상품이다. 중원당에서는 전통주 빚기 체험, 도자 빚기 체험 등이 운영되고 있으며 충북 무형문화재로 지정된 청명주의 역사와 제조방법, 청명주에 얽힌 이야기 등을 소개하고 있다.","청명주 500, 500ml, 17% 풍부한 과실향, 찹쌀 특유의 진득함과 단맛, 그리고 생약주 특유의 새콤함의 조화가 이뤄진 술이다. 청명주가 나오는 충주 탄금대는 남한강 나루터가 있는 곳으로 예로부터 민물 매운탕이 유명했던 곳이다. 따라서 쏘가리, 메기, 잡어 등 진득한 국물의 민물고기 매운탕이 잘 어울린다. 진득하고 새콤한 맛으로 수육 및 보쌈 등 비교적 담백한 고기류하고의 매칭도 좋다."
60,The 찾을수록 시리즈,경북 의성은 사과의 주산지로 유명한 곳이다. (주)한국애플리즈는 대대로 사과 과수원을 운영하여 온 노하우를 바탕으로 꼼꼼한 품질관리와 생산관리를 통해 한국적인 사과와인을 생산하고 있다. 한국애플리즈는 7년의 부단한 연구개발 끝에 2013년 사과와인을 베이스로한 사과소주 6종을 출시하였다. 복숭아 청포도 사과 감귤 생강 아메리카노를 가미하여 탄생한 6종의 사과소주는 미국을 비롯한 8개국에 수출되어 활발하게 판매중이다.," 패키지는 소주지만 주종은 와인 (주)한국애플리즈는 희석식 소주가 한국의 대표술로 인식되고 있는 국내외 시장에서 사과와인과 결합한 6종의 사과소주를 생산하고 있다. 패키지 디자인은 녹색 희석식 소주와 흡사하지만 제품은 증류주가 아닌 과실주로 분류된다. 미국 마켓의 경우 맥주와 와인 판매허가만 있는 경우 소주를 판매할 수 없는 점에 착안하여 디자인은 소주이나 제품은 사과와인으로 미국 내 많은 마켓에 입점하기 위한 전략에서 디자인된 제품이다.,  세계인이 인정하고 함께 마신다 The 찾을수록 시리즈를 생산하는 (주)한국애플리즈의 제품은 LA 와인품평회, 시카고 와인품평회에서 은상을 수상하고 한국전통주류 베스트 5에 선정, 국세청 주류품평회에서 동상을 수상하는 등 국내외 주류 전문가들에게 우수한 평가를 받은 제품이다. 현재 중국, 일본, 싱가폴, 호주, 뉴질랜드, 미국, 베트남, 러시아 등 다양한 나라도 수출하여 세계인의 입맛을 사로잡고 있다.,  2016년 찾아가는 양조장으로 선정 (주)한국애플리즈는 2016년 농림축산식품부에서 지원육성하는 찾아가는 양조장에 선정되었다. 찾아가는 양조장은 양조장 문화체험과 지역관광을 연계하는 전통주문화체험관광상품이다. 넓은 사과 과수원을 견학하며 사과따기 체험부터 나만의 와인만들기 체험, 와인시음 등 마련되어 있으며 향긋한 사과소스로 만든 스테이크까지 즐길 수 있다.","The 찾을수록 시리즈, 360ml, 14~16% - 애플 : 가벼운 사과향으로 시작해 묵직한 알코올 맛으로 끝나는 술이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 진저 : 상큼하고 가벼운 생강향으로 시작하지만 끝에서 다가오는 드라이한 맛이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 만다린 : 첫 만남은 감귤향, 이어서 다가오는 드라이한 알코올 맛이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 모스카토 : 청포도 주스에서 나오는 향긋함과 이후에 찾아오는 가벼운 알코올 맛이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 피치 : 감미로운 복숭아 주스에서 나오는 단맛과 단향의 조화를 이룬다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 아메리카노 : 아메리카노라는 이름이 있지만, 향과 맛을 보면 진한 라떼의 향이 느껴지는 술이다. 라떼의 향이 있어 맛만 본다면 쿠키류와도 잘 어울린다. 다만 병 디자인을 생각하면 가벼운 스낵 등도 즐길 수 있다."
61,이강주 400ml,배와 생강으로 빚은 이강주. 이 술은 조선 중기부터 전라도와 황해도에서 제조되었던 조선 3대 명주 중의 하나이다. 이강주의 재료인 울금은 전라도에서 재배하여 왕실에 진상품으로 올렸기 때문에 전라도 전주 곳곳에서는 이강주를 많이 빚어왔다. 이강주가 전주에 정착한 배경에는 태조 이성계와 동고동락을 같이 조인옥의 영향이 컸는데 바로 동방사현 중 한 명인 조광조를 배출한 한양조씨 가문이다. 구한말에는 그 후손이 전주(완산)의 부사로 오게 되는데 그러면서 집에서 담그는 약소주로 이강주를 빚게 되고 이 전주 부사의 손자가 지금의 이강주를 빚는 조정형 명인으로 이어지게 된다.," 이강주 복원 이강주를 빚는 조정형 명인이 전북의 무형문화재로 지정되면서 본격적으로 이강주 복원이 시작되었는데, 옛 생각이지만 술 빚기는 여자가 할 일이지 남자가 할 일이 아니라는 집안의 반대는 컸다. 조정형 명인은 이런 반대를 무릅쓰고 도서관과 연구소를 전전하며 우리술의 복원에 매달렸고 그 결과, 1996년에는 농식품부 식품명인 9호로 지정 되며 정통 도가의 길을 걸어왔다. 1987년 세상에 이강주를 등장시키기 전후로 50년 이상을 전통주와 함께 보낸 조정형 명인이다.  숙성의 시간이 다른 재료 쌀과 누룩 계피 생강 그리고 꿀로 만들어지는 이강주는 하나의 발효 통에 모든 재료를 다 넣고 발효를 시키는 것이 아니라 원료를 따로 넣어 발효한다. 계절과 시기에 따라 그 원물의 맛이 다르기에 따로 관리하면서 맛과 향을 맞추고 분석한다. 따로 6개월간 숙성된 후, 하나의 통에서 다시 1년 이상 숙성을 하는데 때에 따라서는 3년 이상의 장기 숙성을 하는 경우도 있다.  다른 맛 이강주 전통적으로 이강주의 알코올 도수는 25도 지만, 맛과 향을 조화시킨 19도 이강주와 높은 도수를 선호하는 사람들을 위한 38도 이강주를 출시함으로써 많은 사람들이 함께 즐길 수 있는 이강주를 개발하여 왔다. 이강주에서 느껴지는 배의 묵직함과 생강의 향긋함 그리고 꿀의 달콤함은 각각 다른 도수에서 다르게 느껴져 마실 때마다 새롭게 느껴지는 술이다.","이강주 특7호 400ml X 2, 25% 이강주 19%와 전체적으로 비슷하지만 19%에 비해 향이 맑고 알코올 향이 강하다. 돼지 보쌈과 잘 어울린다."
62,황금보리소주17,황금보리소주는 김제평야에서 재배되는 보리 일명 황금보리를 증류하여 만든 증류식 소주이다. 주정을 섞지 않고 보리만을 100% 증류하여 만든다. 두 번 증류하여 참숯에 여과해서 잡내 없는 깔끔함과 은은한 보리향이 특징이다. 다양한 도수로 나와 있어 색다른 소주의 풍미를 느낄 수 있는 제품으로 여성분들에게도 인기가 높은 제품이다. 고도주에 비해 부드럽고 깔끔한 맛이 매력적인 술이다.," 황금보리 100%로 만든 증류식소주 황금보리는 다른 맥류와 비교해 볼 때 탄수화물의 함량이 높고, 칼슘·인·철분 등의 무기질과 비타민B가 풍부하다. 황금보리를 원료로 만든 제품은 곡물의 피질에 많은 단백질이 아미노산으로 분해되어 나는 누룩의 독특한 향이 구수한 맛을 자아내며, 50%의 도정을 통해 만들었기 때문에 텁텁하거나 까칠한 맛이 없이 매우 부드럽다.  인공첨가물 없이 자연의 맛을 그대로 담다. 황금보리소주는 무색소, 무방향제, 무방부제의 순곡주이다. 누룩의 독특한 향이 구수한 맛을 자아내며 황금보리를 가공해 만들어 보리술 특유의 은은한 향과 참숯으로 두 번 여과하여 깔끔하고 청량한 맛이 특징이다. 술을 빚기 위해 좋은 재료를 얻기 위해 황금보리를 50%까지 도정해 술맛의 텁텁함과 까칠함을 없애 매우 부드럽다.,  소맥용 소주주로도 인기 있는 황금보리소주 황금보리소주는 맥주와 섞어 마시는 소맥용 소주로도 인기 있다. 황금보리 소주를 잔에 1/3~1/5정도 넣고 맥주를 부으면 황금보리 소맥이 완성된다. 완성된 소맥에서는 의외로 프리미엄 독일맥주 맛이 난다. 보리로 만든 소주와 보리로 만든 맥주가 결합하여 맥주의 깊은 맛을 더해 준다.","황금보리소주17, 375ml, 17% 보리를 원재료로 만든 증류식소주답게 구수한 맛과 독특한 향, 그리고 목 넘김이 좋다. 희석식 소주가 알싸한 알코올 향에 단맛이 느껴진다면 증류식 소주에서 느껴지는 은은한 누룩 향과 단맛이 매력적인 술이다. 17% 알코올이라 부담없이 즐길 수 있다. 술을 입에 넣으면 크림과 같은 부드러움이 입 안 전체를 채워주고 알코올이 혀를 자극시킨다. 목 넘김이 좋고 술을 마시고 난 후에 여운이 짧다. 맛이 순한 생선 요리나 전 등이 잘 어울린다."
63,천비향 오양주 약주,천비향 오양주 약주는 시중에 출시되어 있는 전통주와는 원료와 제조방법에서 완전히 차별화를 기하고 국내산 누룩과 1등급 평택 슈퍼오닝쌀만을 이용해 오양주로 빚고 100일간의 발효과정과 9개월간의 장기 저온숙성 과정을 거쳐 탄생한 프리미엄 약주이다. 인공감미료 및 방부제는 사용하지 않은 순수 쌀과 누룩만으로 빚은 건강한 술이다. 술의 숙성기간이 길어지면 술의 향과 맛이 깊어지는데 천비향 오향주는 오감을 자극하는 풍부한 풍미가 일품이다.," 오양주 제조기법으로 정성에 정성을 더한 술 천비향 오양주 약주는 오랜 전통방식인 오양주 제조기법으로 만든다. 오양주라고 하면 술을 5회에 걸쳐 빚는다는 뜻으로, 또는 술 빚는 법에 따른 분류법을 가리키는 것으로 인식되어 왔다. 우리 술은 술 빚는 횟수에 따라 단양주, 이양주, 삼양주, 사양주, 오양주 등으로 구분하기 때문이다. 그 만큼 술을 밎는 이의 정성이 들어간 술이 오양주이다.,  전통방식 그대로 빚은 프리미엄 약주 천비향 오양주 약주는 조선시대 고급술에 사용되던 양조기법인 오양주(다섯 번 빚는 술)에서 아이디어를 얻어서 실제로 다섯 번으로 나누어 빚는 오양주 기법을 사용한 약주이다. 소수의 양반가에서만 빚어 마시던 오양주(三釀酒)를 현대적 취향에 맞게 새로이 복원한 고급 발효주이다. 미생물의 배양을 극대화하여 깊고 풍부한 맛과 향을 자랑하는 제품이다.,  천비향 오양주 약주를 더 맛있는 마시는 방법 천비향 오양주 약주는 차갑게 보관 했다가 와인잔에 따라 마신다. 얼음 한 두개를 넣어서 마시면 청량감을 더욱 높일 수 있다. 탄산수를 섞어 마시면 샴페인과 같은 느낌으로 마실 수 있다. 일체 첨가물을 넣지 않은 제품으로 고유의 부드러운 맛과 풍부한 유산균을 함유하고 있어 스테이크와 회, 야채쌈 등과도 잘 어울린다. 천비향 오양주 탁주에는 살아 있는 효모가 풍부하고 요구르트의 100~200배의 유산균을 함유하고 있다.","천비향 오양주 약주, 500ml, 16% 투명한 황금색 빛깔의 술로 알코올 향에 곡물의 고소한 향이 섞여 올라온다. 입 안에 넣으면 전체적으로 옅은 쓴맛이 깔리고 그 위에 단맛과 신맛의 조화가 잘 갖춰 있다. 술을 마시고 난 후에 잔여 알코올의 묵직함이 남아있고 매우 부드러운 것이 특징이다. 숯에 구운 소고기와 함께 마시면 좋다."
