,맛_음식,상품명
10,"청송 주왕 사과막걸리, 750ml, 6% 진한 아이보리색에 청량감이 매우 좋은 술이다. 청송이 사과로 유명하고 술 제조과정에 사과 과즙이 들어갔지만 전체적으로 사과맛보다는 사과의 맛있는 산미와 청량감이 이 술의 특징이라고 할 수 있다. 입 안의 느낌이 신선하고 마시고 난 후에 매우 개운하다. 과일샐러드 등 가벼운 음식과 잘 어울린다.",청송 주왕 사과막걸
11,"고소리 술 700ml, 6% 신선한 곡물향과 단맛이 술을 전체적으로 부드럽게 만들고 혀를 자극시키는 알코올이 매우 인상적이다. 입 안에 향이 오래남고 목넘김이 부드럽다. 생선회와 잘 어울린다.",고소리 술 700ml
12,"니모메, 375ml, 11% 진한 황금 빛깔의 약주로 귤 껍질(진피)과 찐 고구마의 향이 가득 올라오는 것이 특징이다. 은은한 단맛이 전체적인 술 맛을 맛있게 만들고 산미가 적고 술이 가벼워 누구나 편하게 즐길 수 있는 술이다. 목 넘김이 가볍고 마시고 난 후의 느낌이 산뜻하다. 흰 살 생산 회와 잘 어울린다.",니모메
13,"김포예주 프리미엄, 750ml, 13% 연한 호박색의 약주로 은은한 고소함이 올라오며, 단맛과 쓴맛이 처음에 느껴지고 시간이 지나면서 알코올에 의한 자극이 입 안을 꽉 차게 만든다. 술을 마시고 난 후에 아주 긴 여운이 남는 것이 매력인 술이다. 불고기와 잘 어울린다.",김포예주 프리미엄
14,"죽력고, 700ml, 32% 죽력고는 연록색을 띠며 알싸하고 상쾌한 맛이 나며 대나무 특유의 향이 난다. 살짝 한약냄새가 나면서 알코올 두수 35%의 고도주답게 강한 알코올 향이 느껴진다. 첫맛은 청량감 있게 다가오지만 살짝 단맛이 느껴지고 진한 알코올 기운이 혀를 자극한다. 죽력고의 안주로는 담백한 음식도 좋지만 단맛이 살짝 도는 떡갈비와 같은 안주도 잘 어울린다.",죽력고
15,"매실원주, 300ml, 15% 맑은 담황색의 술로 상큼한 매실향이 강하다. 입에 넣으면 단맛이 처음에 느껴지고 서서히 박하같이 입을 시원하게 만든다. 단맛이 있어서 술이 좀 더 부드럽게 느껴지고 묵직하게 느껴진다. 목넘김은 매우 깔끔하다. 양념된 고기류와 잘 어울린다.",매실원주 15도
16,"오매락퍽, 500ml, 40% 맑은 담황색의 술로 알코올에 잘 익은 과실향이 실려 올라온다. 술을 입에 넣으면 달콤함이 처음 느껴지고 뒤로 진한 알코올 맛이 느껴진다. 푹 익은 매실의 맛과 알코올도수에 비해 입 안에 알코올의 퍼짐이 강하고 뜨거운 열기가 목에 오래 남아 있다. 입이 즐거운 술이다. 신선한 육회와 함께하면 좋은 술이다.",오매락퍽
17,"조선주조사, 300ml/700ml, 14% 약주 특유의 담황색을 가지고 있지만 한약 향 등은 전혀 느껴지지 않는 맑은술이다. 옥수수에서 나오는 듯 한 고소함이 있으며, 입속에 머금는 순간 적절한 부드러움이 느껴진다. 단맛, 신맛 등의 조화가 잘 이뤄져 있어서 부담되지 않는 맛과 향을 가지고 있다. 집안에서 홈술로 즐기기 좋은 술이며, 김치찌개, 된장찌개 등 일상의 음식과 즐기기 좋다.",조선주조사
18,"고운달 오크, 500ml / 200ml, 52% 잔잔한 초콜릿과 커피향, 그리고 마시고 난 다음에 느껴지는 기품 있는 오미자의 향. 부드럽게 넘어가는 목 넘김을 가지고 있다. 가벼운 안주류로 아몬드, 초콜릿, 올리브, 견과류, 육류로는 육포 등을 추천한다. 물론 과일 안주, 꿀물 등과 같이 마셔도 좋다. 알코올도수가 상당히 높지만 맛 자체를 즐기기 위해 소량을 마시더라도 온더록이나 탄산을 가미하지 않고 있는 그대로 즐기는 것이 본연의 맛을 그대로 즐길 수 있다.",고운달 오크
19,"느린마을막걸리 750ml , 6% 여름에 잘 익은 과일향이 올라오고 독특한 단맛을 가지고 있는 것이 특징이며, 입 안에 연하게 남는 쓴맛이 음식과의 조화를 잘 이룬다. 새우 소금구이가 어울린다.",느린마을 막걸
20,"담은 750ml, 6% 술 빚은 백주(白酒)와 같고 매우 곱다. 부드러운 곡물향과 젖산발효향이 슬며시 올라오며 미세하게 나무 속껍질에서 나는 향도 있다. 처음에는 단맛이 부드럽게 올라와 혀를 적시고 청량감은 적지만 미세한 산미가 술을 가볍게 만들어 준다. 마시고 난 후에 부드러운 곡물 가루가 혀에 붙어 매우 크리미하다. 스테이크 등 면요리와 잘 어울린다.",담은
21,"녹고의눈물, 500ml, 16% 투명한 갈색빛을 가지고 있으며 산뜻하면서도 고급스런 향기가 은은하게 올라온다. 입에 넣으면 처음에는 산미가 입 전체를 채우고 시간이 지나면서 독특한 쓴맛이 자리를 잡는다. 생선 조림과 잘 어울린다.",녹고의 눈물
22,"황진이, 375ml, 12% 맑고 투명한 골드핑크 색을 가지고 있으며 산뜻한 과실향이 물씬 올라온다. 처음에는 단맛이 강하게 느껴지지만 그 후로는 신맛이 은은하게 올라와 입 안 전체에 침이 고이게 한다. 술을 마시고 난 후에는 고소한 여운이 남는다. 한우 구이와 잘 어울린다.",황진이
23,"문경바람 오크, 750ml / 375ml, 40% 진한 오크향 속에서 피어 오르는 물결같은 사과향이 특징이다. 가벼운 안주류로 아몬드, 초콜릿, 올리브, 견과류, 육류로는 육포 등을 추천한다. 물론 과일 안주, 꿀물 등과 같이 마셔도 좋다. 가볍게 탄산 및 얼음을 넣은 온더록 형태도 나쁘지 않다.",문경바람 오크
24,"오메기 맑은술 500ml, 16% 노을이 지듯 연한 황금 빛깔의 색을 가지고 있으며 좁쌀에 의해 잘 익은 빵에서 나는 독특한 곡물 향이 특징이다. 맛은 전체적으로 깔끔한 산미가 중심을 잡고 있으면서 술이 가볍고 목 넘김이 깔끔하다. 고사리 등의 나물 무침과 잘 어울린다.",오메기 맑은술
25,"알밤동동 350ml, 6% 기본 원료가 되는 쌀의 부드러움을 갖고 있으며 단맛이 강하고 산미가 적다. 밤농축액과 밤시럽이 들어가 어렸을 때 먹은 밤맛 아이스크림이 생각난다. 특별한 안주 없이 술만 마셔도 맛있게 먹을 수 있는 술이다.",톡 쏘는 알밤동동
26,"이화주 100ml, 8% 매우 달콤하고 쌀의 부드러운 곡물맛이 좋으며, 떠먹는 술이기에 탄산에 의한 청량미는 적지만 부드러운 크림을 먹는 듯하다. 특별한 안주가 필요 없이 먹을 수 있지만 디저트 술로 매우 적당하다.",이화주
27,"고소리 술 375ml, 6% 신선한 곡물향과 단맛이 술을 전체적으로 부드럽게 만들고 혀를 자극시키는 알코올이 매우 인상적이다. 입 안에 향이 오래남고 목넘김이 부드럽다. 생선회와 잘 어울린다.",고소리 술 375ml
28,"대통대잎술 750ml, 15% 기분을 좋게 하는 옅은 꽃향이 올라오고 맑은 단맛과 산미 등 오미의 균형이 잘 갖춰져 있다. 바디감과 목넘김이 가볍고 대나무 통으로 마시는 재미가 있다. 스테이크와 잘 어울린다.",대통대잎술 십오야
29,"안동소주 일품 21도, 350ml, 21% 기존 40도 이상의 안동소주를 좀 더 간편하게 즐기기 위해 알코올도수를 낮춘 제품이다. 안동소주 특유의 그윽한 향이 올라온다. 술을 입에 넣으면 크림과 같은 부드러움이 입 안 전체를 채워주고 알코올이 혀를 자극시킨다. 목넘김이 좋고 술을 마시고 난 후에 여운이 짧다. 해물찌개 등과 잘 어울린다.",안동소주 일품 21도
30,"맑은내일 Winery 단감명작 750ml, 7% 4~5 °C의 차가운 온도로 칠링하는 것이 좋다. 약간의 산미와 당도가 입맛을 기분 좋게 돋우므로 식전주로 마시기 제격이다. 샐러드류와 해산물과도 잘 어울리며, 케이크와 마카롱과 같은 디저트와 함께 하는 것도 좋다.",맑은내일 Winery 단감명작
31,"월매 쌀막걸리, 750ml, 6% 백색의 살균 캔 막걸리로 신선한 발효 향이 은은하게 올라오고 단맛과 신맛, 쓴맛 등 전체적으로 오미의 조화가 잘 갖춰져 있는 막걸리다. 일반적인 막걸리 알코올 도수로 자극적이지 않고 편하게 즐길 수 있으며, 입 안의 느낌과 목 넘김이 가볍고 산뜻하다. 파전과 잘 어울린다.",월매 쌀막걸
32,"한산소곡주 360ml, 18% 곡물을 이용한 발효와 오랜 숙성으로 진향 발효향이 강하게 올라오고 달콤한 홍시와 수정과를 먹는 듯하다. 단맛은 강하나 산미가 적어 왜 앉은뱅이 술이라 하는지 알 수 있다. 쭈꾸미볶음과 잘 어울린다.",한산소곡주 360ml
33,"원매 프리미엄, 700ml, 20% 맑은 담황색의 빛깔을 가지고 있으며 은은하고 깊게 매실향이 올라온다. 단맛이 신맛보다 강하지만 맛의 조화가 잘 갖춰져 있다. 처음에는 단맛이 느껴지지만 그 뒤로 산미가 올라와 입 전체에 침이 고이게 만든다. 목넘김 또한 매우 부드럽다. 파스타 등 면요리와도 잘 어울린다.",원매 프리미엄
34,"1000억 막걸리 프리바이오, 750ml, 5% 옅은 복숭아의 색을 가진 막걸리로 잘 발효된 쌀의 향, 그리고 밀의 구수함, 부드러운 새콤함이 공존하는 향을 가지고 있다. 첫맛은 유산균의 활동으로 산뜻한 새콤함이 몰려오며, 이내 경쾌한 탄산감이 다가온다. 마지막은 막걸리 특유의 고소함으로 마무리를 한다.요구르트와 유사한 식감을 가지고 있으며, 막걸리 초보자에게 추천하고 싶은 맛이기도 하다. 새콤함이 좋아서 함께 참외, 수박, 오이 등 담백한 과실 및 채소와도 잘 어울리는 맛이다. 여름에는 시원하게 생맥주 잔에 마셔도 전혀 어색하지 않은 청량감도 가지고 있다.",1000억 막걸리 프리바이오
35,"은자골 생 탁배기 750ml, 5% 원료인 밀가루에서 나오는 연한 쓴맛과 텁텁함이 있으며 먹고 난 뒤에 은은한 뒷맛이 음식을 부르게 한다. 파전과 잘 어울린다.",은자골 생 탁배기
36,"담솔 500ml, 40% 소나무 아래에 누워 은은한 솔향을 맡는 듯하다. 단맛이 있어 도수가 높지만 바디감과 목넘김을 매우 부드럽게 만든다. 목넘김 후 입 안에 남는 향이 오래 간다. 두부전골과 잘 어울린다.",담솔
37,"강쇠, 370ml, 13% 맑은 황금빛의 술로 맛있게 잘 구은 고구마 향이 올라온다. 단맛과 신맛이 잘 어우러져 있으며 목넘김이 매우 깔끔하다. 술을 마시고 난 후에는 미세한 쓴맛이 입 안을 꽉 채운다. 감자탕과 잘 어울리는 술이다.",강쇠
38,"풍정사계 춘, 500ml, 15% 맑고 투명한 황금색의 술이다. 맑은 조청에서 나는 달콤한 향이 올라오고 살짝 밀기울의 향이 묻어 나온다. 혀에 남는 미세한 쓴맛이 입 안 전체를 채워 술을 묵직하게 만들고 진한 알코올이 혀를 자극시켜 음식을 찾게 만든다. 불고기와 잘 어울린다.",풍정사계 춘(春)
39,"타미앙스 500ml , 40% 다양한 약재향이 올라오는데 단향과 섞여 부드럽다. 오크향이 입안 전체를 꽉 채우고 도수가 높지만 매우 부드러운 목넘김을 가지고 있다. 독특하게 화한 맛이 입안을 정리해 준다. 옥돔구이와 잘 어울린다.",타미앙스
40,"이화백주, 940ml, 6% 용해되었던 탄산의 경쾌함과 레몬 맛과 같은 시트러스 계열의 맛과 향. 행사 및 파티용 술로 최적이다. 탄산으로 인해 단맛은 적게 느껴지며 청량감은 최고조를 이룬다. 맥주 대신 첫술을 시작하는 용으로 가장 좋으며, 기름진 음식과 잘 맞는다. 구체적으로는 갈비찜, 해물파전, 보쌈, 족발 등 육류와의 궁합이 좋다.",이화백주
41,"나루 생막걸리 6%, 935ml, 6% 흰쌀의 색을 갖고 있으며 신선한 과실향이 올라온다. 전체적으로 단맛과 신맛의 조화가 잘 갖춰져 있으며 입 안에서 느껴지는 산뜻한 과일맛이 단맛의 묵직함을 보완해준다. 술을 마시고 난 후에도 혀에 남는 촉감이 부드럽고 경쾌하다. 단맛이 있는 음식보다는 기름진 고기류와 잘 어울린다.",나루 생막걸리 6%
42,"복순도가 손 막걸리 935ml , 6.5% 탄산이 강해 청량미가 일품이며 단맛 보다는 산미가 강해 여름 풋 사과를 먹는 듯하다. 뚜껑을 열 때 침전물이 올라오는 모습이 예술이다. 생선 조림과 잘 어울린다.",복순도가 손 막걸
43,"천매, 600ml, 30% 진한 담황색의 술로 진한 알코올향에 매실향이 함께 올라온다. 천매는 매실원주 15%보다 좀 더 단맛과 신맛이 강하고 매실맛이 더 잘 느낄 수 있다. 처음 단맛이 기분좋게 느껴지고 그 뒤로 매실의 산미가 느껴지기 시작해 술 맛을 마무리 한다. 기름진 중국음식과 잘 어울린다.",천매
44,"뱅꼬레 로제와인, 375ml, 11.5% 무겁지 않은 단맛에 입맛을 돋구는 신맛의 균형미 있는 맛의 특징이다. 화이트와 레드 와인을 특징을 모두 가진 만큼, 다양한 음식과 무난한 매칭을 자랑한다. 다양한 요리가 나오는 한정식에 좋다.",뱅꼬레 로제와인
45,"맑은내일 발효막걸리, 750ml / 1,000ml, 7% 다소 농도가 짙어 보이는 아이보리 컬러를 가지고 있다. 쌀과 누룩향과 적절히 조화된 향을 가지고 있으며 산뜻한 산미가 식욕을 자극한다. 새콤함으로 마무리될 듯한 맛은 후미에서 반전을 가져온다. 매끄러운 단맛이 함께 있기 때문. 따라서 이 막걸리는 막걸리 초심자가 즐기기에도 충분하다.좋은 산미를 가져서 식욕을 돋우는 만큼, 한정식과 같은 다양한 요리가 있는 자리에도 잘 어울리며, 독특한 디자인으로 서양식 레스토랑에서도 결코 어색하지 않은 디자인이다. 함박 스테이크, 파스타와도 충분히 함께 즐길 수 있다.",맑은내일 발효막걸
46,"장수 생 막걸리, 750ml, 6% 일반적인 서울장수막걸리에서 느껴지는 익숙한 단맛과 과일향과 함께 상쾌한 탄산기운을 느낄 수 있다. 전체적으로 순하고 부드러운 맛이다. 목으로 넘길 때 탄산의 느낌이 강하여 시원하고 긴 여운이 남는다. 막걸리 안주로 생각할 수 있는 음식에는 어느 것이나 궁합이 맞다.",장수 생 막걸
47,"명작 복분자, 375ml, 13% 진한 검붉은 빛의 색을 가지고 있으며 알코올향과 과실향이 함께 올라온다. 처음 단맛이 강하게 느껴지고 시간이 지나면 술이 매우 가벼워진다. 목넘김은 매우 가볍고 여운이 짧다. 술을 마시고 난 후에 입 안이 매우 상쾌하다. 과실로 만든 파이와 잘 어울린다.",명작 복분자
48,"녹파주, 375ml, 15% 잔잔하고 은은한 향에서 출발하여, 매끄러운 단맛으로 끝나는 술. 튀지 않는 맛에서 기품이 느껴지는 술이다. 향에서 올라오는 은은한 맛을 즐기기 위하여 강하지 않은 음식을 추천하고 싶다. 특히 녹파주가 나오는 경남 함양에서는 드넓은 연꽃 밭에서 나오는 연잎밥이 유명한데, 같이 즐기기에 충분히 매력적인 궁합이다.",녹파주
49,"안동소주 일품 40도 골드, 500ml, 40% 알코올도수가 높지만 신선한 향이 올라온다. 술을 입에 넣으면 크림과 같은 부드러움이 입 안 전체를 채워주고 알코올이 혀를 자극시킨다. 목넘김이 좋고 술을 마시고 난 후에 여운이 짧다. 간고등어 구이와 잘 어울린다.",안동소주 일품 40도 골드
50,"복분자음, 375ml, 12% 검붉은 술 빛을 가지고 있으며 과실향과 알코올향이 동시에 올라온다. 단맛과 신맛의 균형이 잘 갖춰져 있지만 단맛의 여운이 좀 더 오래 간다. 목넘김은 매우 깔끔하고 부드럽게 느껴진다. 술을 마시고 난 후에 혀에 남는 텁텁함이 이 술의 매력이다. 전체적으로 복분자의 맛을 잘 느낄 수 있는 술이다. 삼계탕과 잘 어울린다.",복분자
51,"추사백25 350ml, 25% 무색투명하며 인공적인 향 없이 자연스러운 사과 본연의 향이 느껴지는 애플민트향이다. 산뜻한 사과의 느낌에 이어지는 깔끔한 뒷맛이 특징이다. 도수에 비해 목 넘김이 부드러우며, 마신 후 사과와 애플민트향의 여운이 남는다. 본연의 향을 즐기거나, 토닉워터와 함께 홈파티용으로도 좋다. 차갑게 해서 마시는 것을 추천한다. 함께 먹기에 어울리는 음식으로 생갈비, 지리탕이 있다.",추사백25
52,"밤꽃향기, 375ml, 13.5% 잘 익은 밤에서 느껴지는 특유의 고소한 밤향이 특징이다. 초콜릿을 녹여 놓은듯한 질감이 밤향과 잘 어우러진 맛이다. 구운 밤하고도 잘 어울리며, 지역의 유명 음식인 공주국밥하고도 좋은 매칭이다.",밤꽃향기
53,"고운달 백자, 500ml / 200ml, 52% 코 속부터 시작되는 잔잔한 오미자향, 머금고 난 이후에 뱃속에서 올라오는 은은한 오미자의 맛. 향과 맛 모두 일품이다. 술맛을 방해하지 않는 가벼운 샐러드나 견과류, 육포 등이 좋다. 소량을 마시더라도 얼음이나 탄산 등은 추가하지 않고 본연의 맛을 즐기기를 추천해 본다.",고운달 백자
54,연한 갈색빛의 색깔을 가지고 있으며 산뜻하면서도 고소한 향이 물씬 올라온다. 단맛 보다는 신맛이 도드라지며 산미로 인해 침이 고이고 목넘김은 매우 가볍다. 술을 마시고 난 후에 옅은 쓴맛이 혀에 남아 여운을 길게 한다. 오리 주물럭과 잘 어울린다.,국순당 옛날 막걸리 古
55,"선운산 복분자주, 375ml, 16% 진하지 않은 맑은 느낌의 색이 자연스럽게 느껴지며, 신맛이 주는 새콤함이 청량감을 더한다. 다재다능한 식중주라는 판단. 달콤함과 새콤함의 조합이 좋은 복분자주. 보양식을 생각한다면 장어구이가 잘 어울릴 것이며, 달콤한 맛이 있는 만큼 디저트주로도 좋다. 의외로 치즈와도 좋은 궁합. 다재다능한 식중주다.",선운산 복분자주
56,"원매, 750ml, 15% 황매실을 이용해 맑은 호박색을 가지고 있으며, 매실의 신선한 향이 가득한 것이 특징이다. 도수가 낮아 누구라도 편하게 즐길 수 있으며 처음 단맛이 올라오지만 뒤에 따라오는 신맛과 적절한 쓴맛의 조화가 잘 갖춰진 술이다. 입 안의 느낌이 매우 따뜻하고 마시고 난 후에는 여운이 길다. 숙주 소고기 볶음 등 약간의 양념이 된 깔끔한 음식과 잘 어울린다.",원매
57,"한산소곡주 700ml, 18% 곡물을 이용한 발효와 오랜 숙성으로 진향 발효향이 강하게 올라오고 달콤한 홍시와 수정과를 먹는 듯하다. 단맛은 강하나 산미가 적어 왜 앉은뱅이 술이라 하는지 알 수 있다. 쭈꾸미볶음과 잘 어울린다.",한산소곡주 700ml
58,"명품 진도홍주 375ml, 38% 지초를 이용해 아름다운 루비가 되었다. 뿌리식물에서 나는 신선한 향이 올라온다. 알코올도수가 높지만 입 안에서는 매우 부드럽고 입술과 혀를 자극시키지 않는다. 목넘김이 깔끔하고 박하와 같은 느낌이 든다. 조개찜 등과 잘 어울린다.",명품 진도홍주
59,"청명주 500, 500ml, 17% 풍부한 과실향, 찹쌀 특유의 진득함과 단맛, 그리고 생약주 특유의 새콤함의 조화가 이뤄진 술이다. 청명주가 나오는 충주 탄금대는 남한강 나루터가 있는 곳으로 예로부터 민물 매운탕이 유명했던 곳이다. 따라서 쏘가리, 메기, 잡어 등 진득한 국물의 민물고기 매운탕이 잘 어울린다. 진득하고 새콤한 맛으로 수육 및 보쌈 등 비교적 담백한 고기류하고의 매칭도 좋다.",청명 주 500
60,"The 찾을수록 시리즈, 360ml, 14~16% - 애플 : 가벼운 사과향으로 시작해 묵직한 알코올 맛으로 끝나는 술이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 진저 : 상큼하고 가벼운 생강향으로 시작하지만 끝에서 다가오는 드라이한 맛이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 만다린 : 첫 만남은 감귤향, 이어서 다가오는 드라이한 알코올 맛이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 모스카토 : 청포도 주스에서 나오는 향긋함과 이후에 찾아오는 가벼운 알코올 맛이다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 피치 : 감미로운 복숭아 주스에서 나오는 단맛과 단향의 조화를 이룬다. 식중주보다는 가벼운 식후주로 스낵 등과 즐기기 좋다.- 아메리카노 : 아메리카노라는 이름이 있지만, 향과 맛을 보면 진한 라떼의 향이 느껴지는 술이다. 라떼의 향이 있어 맛만 본다면 쿠키류와도 잘 어울린다. 다만 병 디자인을 생각하면 가벼운 스낵 등도 즐길 수 있다.",The 찾을수록 시리즈
61,"이강주 특7호 400ml X 2, 25% 이강주 19%와 전체적으로 비슷하지만 19%에 비해 향이 맑고 알코올 향이 강하다. 돼지 보쌈과 잘 어울린다.",이강주 특7호
62,"황금보리소주17, 375ml, 17% 보리를 원재료로 만든 증류식소주답게 구수한 맛과 독특한 향, 그리고 목 넘김이 좋다. 희석식 소주가 알싸한 알코올 향에 단맛이 느껴진다면 증류식 소주에서 느껴지는 은은한 누룩 향과 단맛이 매력적인 술이다. 17% 알코올이라 부담없이 즐길 수 있다. 술을 입에 넣으면 크림과 같은 부드러움이 입 안 전체를 채워주고 알코올이 혀를 자극시킨다. 목 넘김이 좋고 술을 마시고 난 후에 여운이 짧다. 맛이 순한 생선 요리나 전 등이 잘 어울린다.",황금보리소주17
63,"천비향 오양주 약주, 500ml, 16% 투명한 황금색 빛깔의 술로 알코올 향에 곡물의 고소한 향이 섞여 올라온다. 입 안에 넣으면 전체적으로 옅은 쓴맛이 깔리고 그 위에 단맛과 신맛의 조화가 잘 갖춰 있다. 술을 마시고 난 후에 잔여 알코올의 묵직함이 남아있고 매우 부드러운 것이 특징이다. 숯에 구운 소고기와 함께 마시면 좋다.",천비향 오양주 약주
64,"병영소주 700ml , 40% 증류 과정에서 나온 고소한 향과 단향이 은은하게 올라온다. 단맛이 전체적인 술 맛을 이끌어 도수가 높지만 목넘김을 부드럽게 만든다. 명란젓과 잘 어울린다.",병영소주
65,"도깨비술 7%, 750ml, 7% 부드러운 아이보리 컬러가 인상적인 막걸리다. 잘 익은 누룩향에 사과향, 배향이 뭉근히 올라온다. 첫 느낌은 단맛과 신맛이 좋은 조화를 이루고 있으며, 마무리는 미세한 새콤함으로 마무리된다.식중주 막걸리로 손색이 없으며, 좀 더 단맛을 즐기고 싶다면 1주일 정도 냉장고에서 숙성해서 즐기면 단맛이 적어지는 만큼 또 다른 맛을 만날 수 있다. 단양에서 만들어지는 만큼 마늘 정식 등과 즐기면 좋으며, 쏘가리 매운탕, 메기 매운탕 등의 민물고기 요리와 곤드레 밥 등의 나물 요리에도 좋은 매칭을 보인다.",도깨비술 7%
66,"그랑꼬또 로제와인, 750ml, 12% 로제와인답게 색도 아름답다. 병을 오픈해 바로 마시는 것 보다는 산소와의 접촉을 충분히 한 후에 마시는 것이 좋고 단맛과 신맛의 조화가 잘 갖춰져 있다. 특히, 전체적으로 은은한 산미가 술의 맛을 이끌어가며 음식과의 조화를 이루게 한다. 조개요리와 잘 어울린다.",그랑꼬또 로제와인
67,"송이주, 375ml, 13% 술 이름과는 다르게 신선한 레몬 등의 시트러스 향이 매우 강하게 올라오고 여기에 연하게 버섯향이 섞여있는 것이 특징이다. 전체적으로 산미가 중심을 잡고 미세하게 후추 맛이 섞여 있어 매우 독특하다. 술을 마시고 난 후에도 술이 무겁지 않고 가벼워 편하게 마실 수 있는 술이다. 소 등심 구이랑 잘 어울린다.",송이주
68,"구름을 벗삼아 750ml , 6% 술에서 올라오는 바닐라 향기에 단맛과 신맛의 균형이 잘 갖춰져 있으며 입 안을 약하게 자극시키는 텁텁한 바디감과 혀에 남는 떫음이 있다. 가리비 찜과 잘 어울린다.",구름을 벗삼아
69,"대대포 생막걸리, 750ml, 6% 흰색에 가까운 빛깔을 갖고 있으며, 경쾌한 미생물 발효향이 일품이다. 전체적으로 단맛과 신맛의 조화가 잘 갖춰져 있다. 입 안에서 시원한 탄산과 산미가 입을 경쾌하게 만들어 주어 누구나 편하게 마실 수 있는 술이다. 땀 흘린뒤에 시원하게 한 잔 할 수 있는 막걸리다. 김치전 등과 잘 어울린다.",대대포 생막걸
