,상품명,주종,도수,용량,가격,원재료,제조사,대표자명,주소,연락처,온라인스토어,홈페이지,우리술 품평회,가격수정
17,조선주조사,청주,14%,300ml / 700ml,"300ml ￦4,000, 
                                        700ml ￦9,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        입국, 
                                        누룩, 
                                        주정, 
                                        정제수",농업회사법인 우포의아침(주),박중협,"(1공장) 경남 창녕군 대지면 대지농공단지길 40, 
                                        (2공장) 경남 창원시 의창군 북면 천주로 1173번길29",070-4105-0997,,http://www.woopo.net,,9000
18,고운달 오크,일반증류주,52%,500ml / 200ml,"￦360,000(500ml), ￦180,000(200ml)(가격은 판매처 별로 상이할 수 있습니다.)",오미자(문경산),농업회사법인(주)제이엘,이종기,경북 문경시 문경읍 새재로 609,054-572-0601,https://shopping.naver.com/fresh/traditionalalcohol/stores/100093073,,,360000
19,느린마을 막걸리,탁주,6%,750ml,"￦2,300 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 국, 효모, 정제수",배상면주가,배영호,경기도 포천시 화현면 화동로 432번길 25,031) 531-9300,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074175,,,2300
20,담은,살균탁주,6%,750ml,"￦15,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산), 입국, 효모, 고과당, 정제효소제, 정제수",(주)1932 포천일동막걸리,김응탁,경기도 포천시 일동면 운악청계로 1597,031-532-3007,https://shopping.naver.com/fresh/traditionalalcohol/stores/100159599,,,15000
21,녹고의눈물_700ml,기타주류,16%,500ml,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)",섬오가피,농업회사법인(주)토향,정옥주,제주특별자치도 제주시 한경면 연명로 372,064-796-2521,https://shopping.naver.com/fresh/traditionalalcohol/stores/100075514,,,23000
22,황진이_375ml,살균약주,12%,375ml,"￦3,500(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        오미자, 
                                        산수유",농업회사법인(유)술소리,김금자,전라북도 남원시 시묘길 130(오암동),063-625-5050,,https://sulsori.modoo.at/,,3500
23,문경바람 오크,일반증류주,40%,750ml / 375ml,"￦44,000(750ml), ￦28,000(375ml)(가격은 판매처 별로 상이할 수 있습니다.)",사과(문경산),농업회사법인(주)제이엘,이종기,경북 문경시 문경읍 새재로 609,054-572-0601,https://shopping.naver.com/fresh/traditionalalcohol/stores/100093073,,,44000
24,오메기 맑은술,약주,16%,500ml,"￦25,000(가격은 판매처 별로 상이할 수 있습니다.)","좁쌀, 
                                        햅쌀, 
                                        정제수, 
                                        누룩",제주술익는집,김희숙,제주특별자치도 서귀포시 표선면 중산간동로 4726,064-787-5046,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113496,,,25000
25,톡 쏘는 알밤동동,기타주류,6%,350ml,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제수, 입국, 밤 농축액, 밤 추출물 등",가평 우리술,박성기,"경기도 가평군 조종면 대보간선로 26, 29",070) 4115-8525,,http://woorisool.modoo.at/,,1300
26,이화주,탁주,8%,100ml,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다.)","쌀(국내산 경기미 100%), 누룩, 정제수",술샘,신인건,경기도 용인시 처인구 양지면 죽양대로 2298-1,070) 4218-5225,https://shopping.naver.com/fresh/traditionalalcohol/stores/100076876,,,6500
27,고소리 술,증류식소주,40%,375ml,"￦25,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 차조, 입국, 누룩, 효모, 효소, 정제수, 스테비올 배당체",제주샘영농조합법인,김숙희,제주특별자치도 제주시 애월읍 애원로 283,064) 799-4225,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074415,,,25000
28,대통대잎술 십오야,약주,15%,700ml,"￦16,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 누룩, 갈근, 구기자, 솔잎, 진피 등",추성고을,양대수,전남 담양군 용명 추령로 29,061) 383-3011,https://shopping.naver.com/fresh/traditionalalcohol/stores/100075524,,,16000
29,안동소주 일품 21도_350ml,증류식소주,21%,350ml,"￦13,500(350ml*3병)(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        입국",안동소주일품,이주흥,경북 안동시 풍산읍 괴정리 926-5번지,054-854-6080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100083199,,,13500
30,맑은내일 Winery 단감명작,과실주,7%,750ml,"￦20,000 (가격은 판매처 별로 상이할 수 있습니다)","단감(국내산_창녕), 
                                        정제수, 
                                        설탕, 
                                        효소제, 
                                        무수구연산, 
                                        효모, 
                                        무수아황산(산아방지제), 
                                        소브산(보존료)",농업회사법인 우포의아침 주식회사,박중협,경상남도 창녕군 대지면 대지농공단지길 40,010-4595-6353,https://smartstore.naver.com/menib001,,,20000
31,월매 쌀막걸리,살균탁주,6%,350ml,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)","백미, 
                                        말토올리고당, 
                                        정제수",서울장수주식회사,배윤상,충청북도 진천군 광혜원면 죽현길141,080-777-7611,,http://www.koreawine.co.kr,,1200
32,한산소곡주,살균약주,18%,360ml,"￦6,500 (가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 누룩, 백미, 정제수, 야국, 메주콩, 생강, 홍고추",한산소곡주,우희열,충청남도 서천군 한산면 충절로 1118번지,041) 951-0290,https://shopping.naver.com/fresh/traditionalalcohol/stores/100070000,,,6500
33,원매 프리미엄_700ml,리큐르,20%,700ml,"￦45,000(가격은 판매처 별로 상이할 수 있습니다.)","매실주원액, 
                                        발효주정, 
                                        정제수, 
                                        꿀",더한주류,한상헌,서울시 은평구 증산로7길 28-13,02-2280-8080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100079873,,,45000
34,1000억 막걸리 프리바이오,탁주,5%,750ml,"￦3,500 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        밀(국내산), 
                                        누룩, 
                                        정제수",(주)국순당,배상민,강원도 횡성군 둔내면 강변로 975,02-513-8500,,http://www.ksdb.co.kr,,3500
35,은자골 생 탁배기,탁주,5%,750ml,"￦1,500 (가격은 판매처 별로 상이할 수 있습니다.)","백미, 소맥분, 정제수, 전분당, 국, 누룩, 효소, 아스파탐 등",은척양조장,임주원,경상북도 상주시 은척면 봉중2길 16-9,054) 541-6409,,http://takbaeki.modoo.at/,,1500
36,담솔 40%,리큐르,40%,500ml,"￦22,000 (가격은 판매처 별로 상이할 수 있습니다.)","정제수, 국내산 쌀, 국내산 송순농축액(송순 33%, 정제수 67%)5.24%, 누룩, 조제종국, 효모",명가원영농조합법인,정천상,경남 함양군 지곡면 지곡창촌길3,055) 963-8992,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074038,,,22000
37,강쇠_370ml,살균약주,13%,370ml,"￦2,500(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        누룩, 
                                        오가피",농업회사법인(유)술소리,김금자,전라북도 남원시 시묘길 130(오암동),063-625-5050,,https://sulsori.modoo.at/,,2500
38,풍정사계 춘_500ml,약주,15%,500ml,"￦30,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산찹살, 
                                        향온곡",농업회사법인(유)화양,이한상,충북 청주시 청원구 내수읍 풍정1길 8-4,043-214-9424,,https://pjsg.modoo.at/,,30000
39,타미앙스,일반증류주,40%,500 ml,"￦50,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제수, 누룩, 오미자, 구기자, 상심자, 갈근",추성고을,양대수,전남 담양군 용명 추령로 29,061) 383-3011,https://shopping.naver.com/fresh/traditionalalcohol/stores/100075524,,,50000
40,이화백주,탁주,6%,940ml,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 햅쌀, 
                                        전통 누룩, 
                                        정제수",이화백주 순탁주,이미경,경남 양산시 상북면 충렬로 941,010-2469-5677,https://shopping.naver.com/fresh/traditionalalcohol/stores/100075521,,,12000
41,나루 생막걸리 6%,탁주,6%,935ml,"￦7,000 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 국, 효모, 정제수",한강주조,고성용,"서울특별시 성동구 둘레15길 12, 2층",070-8836-1115,https://shopping.naver.com/fresh/traditionalalcohol/stores/100685599/products/4875685749,,,7000
42,복순도가 손 막걸리,탁주,6.5%,935ml,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다.)",,복순도가,김정식,울산광역시 울주군 상북면 향산동길 48,1577-6746,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074420,,,12000
43,천매_600ml,리큐르,30%,600ml,"￦130,000(가격은 판매처 별로 상이할 수 있습니다.)","매실주원액, 
                                        발효주정, 
                                        정제수, 
                                        꿀",더한주류,한상헌,서울시 은평구 증산로7길 28-13,02-2280-8080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100079873,,,130000
44,뱅꼬레로제_375ml,과실주,11.5%,375ml,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)",양조용포도(경북 영천),(주)한국와인,하형태,경북 영천시 금호읍 창산길 100-44,054-333-3010,https://shopping.naver.com/fresh/traditionalalcohol/stores/100172559,,,23000
45,맑은내일 발효막걸리,탁주,7%,"750ml / 1,000ml","750ml ￦2,200, 
                                        1,000ml ￦6,500 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        누룩, 
                                        효소, 
                                        아스파탐, 
                                        정제수",농업회사법인 우포의아침(주),박중협,"(1공장) 경남 창녕군 대지면 대지농공단지길 40, 
                                        (2공장) 경남 창원시 의창군 북면 천주로 1173번길29",070-4105-0997,,http://www.woopo.net,,6500
46,장수 생 막걸리_750ml,탁주,6%,750ml,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)","백미(국내산), 
                                        말토올리고당",서울장수주식회사,배윤상,충청북도 진천군 광혜원면 죽현길141,080-777-7611,,https://seouljangsu.modoo.at/,,1200
47,명작복분자_375ml,과실주,13%,375ml,"￦78,000(375ml*12병)(가격은 판매처 별로 상이할 수 있습니다.)","복분자, 
                                        효모, 
                                        주정, 
                                        정제수, 
                                        과당, 
                                        구연산",(농)국순당고창명주(주),김영동,전북 고창군 심원면 선운대로 2197,063-564-9800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077970,,,78000
48,녹파주,약주,15%,375ml,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 찹쌀, 
                                        멥쌀, 
                                        누룩, 
                                        정제수",농업회사법인(주)솔송주,정천상,경남 함양군 지곡면 지곡창촌길3,055-963-8992,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074038,,,35000
49,안동소주 일품 40도 골드_500ml,증류식소주,40%,500ml,"￦18,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        입국",안동소주일품,이주흥,경북 안동시 풍산읍 괴정리 926-5번지,054-854-6080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100083199,,,18000
50,복분자음_375ml,과실주,12%,375ml,"￦6,000(가격은 판매처 별로 상이할 수 있습니다.)","복분자(국내산), 
                                        정제수",농업회사법인 배상면주가 고창LB,안재식,전북 고창군 아산면 병암길 48,063-563-7756,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074175,,,6000
51,추사백25,일반증류주,25%,350ml,"￦12,000 (가격은 판매처 별로 상이할 수 있습니다)","증류원액(사과증류원액, 사과: 국내산), 
                                        정제수",예산사과와인,서정학,충청남도 예산군 고덕면 대몽로 107-25,070-4733-8726,https://smartstore.naver.com/chusa_shop,,,12000
52,밤꽃향기,약주,13.5%,375ml,"￦4,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        밤, 
                                        누룩, 
                                        정제수",농업회사법인 사곡양조원,임헌창,충남 공주시 사곡면 마곡사로 49,041-841-9308,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069114,,,4000
53,고운달 백자,일반증류주,52%,500ml / 200ml,"￦360,000(500ml), ￦180,000(200ml)(가격은 판매처 별로 상이할 수 있습니다.)",오미자(문경산),농업회사법인(주)제이엘,이종기,경북 문경시 문경읍 새재로 609,054-572-0601,https://shopping.naver.com/fresh/traditionalalcohol/stores/100093073,,,360000
54,옛날 막걸리 古,탁주,7.8%,750ml,"￦2,700원(※ 가격은 판매처 별로 상이할 수 있습니다)","배정제수, 
                                        쌀(국산), 
                                        국(밀), 
                                        과당, 
                                        효모 / 에탄올 함량 : 7.8%",국순당,배중호,강원도 횡성군 둔내면 강변로 975,080-0035-100,,http://www.ksdb.co.kr,,2700
55,선운산 복분자주,과실주,16%,375ml,"￦25,000(375ml*4병 세트)(가격은 판매처 별로 상이할 수 있습니다)","복분자(고창산), 
                                        과당, 
                                        구연산, 
                                        아스파탐, 
                                        무수아황산",(주)선운산복분자주 흥진,임종훈,전북 고창군 부안면 복분자로535,063-561-0209,https://shopping.naver.com/fresh/traditionalalcohol/stores/100077745,,,25000
56,원매_750ml,리큐르,15%,750ml,"￦35,000(가격은 판매처 별로 상이할 수 있습니다.)","매실원주액, 
                                        매실청, 
                                        꿀, 
                                        카라멜, 
                                        효소처리스테비아, 
                                        정제수",더한주류,한상헌,서울시 은평구 증산로7길 28-13,02-2280-8080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100079873,,,35000
57,한산소곡주,살균약주,18%,700ml,"￦15,000 (가격은 판매처 별로 상이할 수 있습니다.)","찹쌀, 누룩, 백미, 정제수, 야국, 메주콩, 생강, 홍고추",한산소곡주,우희열,충청남도 서천군 한산면 충절로 1118번지,041) 951-0290,https://shopping.naver.com/fresh/traditionalalcohol/stores/100070000,,,15000
58,명품 진도홍주_375ml,일반증류주,38%,375ml,"￦20,000(가격은 판매처 별로 상이할 수 있습니다.)","쌀, 
                                        보리, 
                                        누룩, 
                                        지초, 
                                        정제수",대대로영농조합법인,김애란,전남 진도군 군내면 명량대첩로288-23,061-542-3399,,https://jindosul.modoo.at/,,20000
59,청명주 500,약주,17%,500ml,"￦23,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 찹쌀, 
                                        누룩, 
                                        소맥분",중원당,김영섭,충북 충주시 중앙탑면 청금로 112-10,043-842-5005,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074048,,,23000
60,The 찾을수록 시리즈,과실주,"피치 14%, 
                                        모스카토 14%, 
                                        애플 16%, 
                                        감귤 16%, 
                                        생강 16%, 
                                        아메리카노 14%",360ml,"￦9,000(360ml*6병)(가격은 판매처 별로 상이할 수 있습니다.)","사과와인, 
                                        정제수, 
                                        정제주정 외 제품별 농축액(복숭아, 포도, 사과, 감귤, 생강, 커피향 등)",(주)한국애플리즈,한임섭,경북 의성군 단촌면 일직점곡로 755,054-834-7800,https://shopping.naver.com/fresh/traditionalalcohol/stores/100186401,,,9000
61,이강주 특7호,리큐르,25%,400ml X 2,"￦50,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 소맥분, 정맥, 배, 생강, 계피, 울금, 꿀",전주 이강주,조정형,전주시 덕진구 매암길 28,063) 212-5765,https://shopping.naver.com/fresh/traditionalalcohol/stores/100114116,,,50000
62,황금보리소주17,증류식소주,17%,375ml,"￦25,000(375ml*5병)(가격은 판매처 별로 상이할 수 있습니다)","보리, 
                                        누룩, 
                                        정제수",황금보리(유)농업회사법인,김가해,충남 홍성군 서부면 서부로 696,041-631-8722,,http://www.황금보리.com/,,25000
63,천비향 오양주 약주,약주,16%,500ml,"￦40,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        누룩",농업회사법인(주)좋은술,이예령,경기도 평택시 오성면 숙성뜰길 108,031-681-8929,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113477,,,40000
64,병영소주,증류식소주,40%,700ml,"￦59,400 (가격은 판매처별로 상이할 수 있습니다.)","정제수, 보리증류식 소주원액(보리 : 국내산)",병영주조장,김견식,전남 강진군 병영면 하멜로 407,061) 432-1010,,http://byjujo.modoo.at/,,59400
65,도깨비술 7%,탁주,7%,750ml,"￦8,000 (가격은 판매처 별로 상이할 수 있습니다)","멥쌀(국내산), 
                                        누룩, 
                                        효모, 
                                        정제수",농업회사법인 (주)도깨비양조장,김진경,충북 단양군 가곡면 사평3길 5,070-4133-2030,https://smartstore.naver.com/dokkaebisul/products/4676617056,,,8000
66,그랑꼬또 로제와인,과실주,12%,750ml,"￦21,000(가격은 판매처 별로 상이할 수 있습니다.)",포도(캠벨얼리),그린영농조합법인,김지원,경기도 안산시 단원구 뻐꾹산길 107(대부북동),032-886-9873,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113491,,,21000
67,송이주,살균약주,13%,375ml,"￦12,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        송이농충액, 
                                        누룩, 
                                        정제수",내국양조,이명자,충남 논산시 연무읍 마종로 361,041-742-3413,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113507,,,12000
68,구름을 벗삼아,탁주,6%,750ml,"￦1,500 (가격은 판매처별로 상이할 수 있습니다.)","정제수, 찹쌀·백미(국내산햅쌀 100%), 입국 등",문경주조,홍승희,경북 문경시 동로면 노은2리 49-15,054) 552-8252,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113504,,,1500
69,대대포 생막걸리,탁주,6%,750ml,"￦3,500 (가격은 판매처 별로 상이할 수 있습니다)","백미(국내산, 
                                        무기농 무농약), 
                                        벌꿀(국내산), 
                                        정제수",농업회사법인 (주)죽향도가,장유정,전남 담양군 담양읍 외다길30,061-381-8700,,http://jhdg.co.kr/,,3500
70,장홍삼 장수 막걸리_750ml,살균탁주,6%,750ml,"￦2,000(가격은 판매처 별로 상이할 수 있습니다.)","백미, 
                                        말토올리고당, 
                                        홍삼분말",서울장수주식회사,유재찬,충청북도 진천군 광혜원면 죽현길141,080-777-7611,,https://seouljangsu.modoo.at/,,2000
71,동학 1957,청주,13%,375ml / 700ml,"375ml ￦3,500, 
                                        700ml ￦7,200 (가격은 판매처 별로 상이할 수 있습니다)","쌀(국내산), 
                                        구연산, 
                                        효모, 
                                        젖산, 
                                        정제효소제, 
                                        국, 
                                        주정, 
                                        정제수",고헌정영농조합법인,김동학,충북 충주시 산척면 샛강영길 39,043-855-3333,https://smartstore.naver.com/gohunjung/products/4765578776,,,7200
72,지란지교 탁주,탁주,13%,500ml,"￦30,000(2병) (가격은 판매처 별로 상이할 수 있습니다)","탁주 찹쌀(국내산), 
                                        멥쌀(국내산), 
                                        누룩(국내산), 
                                        정제수",(유)친구들의술지란지교,임숙주,전라북도 순창군 순창읍 순창7길 5-1,010-9533-1478,https://smartstore.naver.com/limsugzu,,2020 우수상,30000
73,금정산성 막걸리_750ml,탁주,8%,750ml,"￦19,000(750ml*10병)(가격은 판매처 별로 상이할 수 있습니다.)","백미, 
                                        밀누룩, 
                                        정제수, 
                                        아스파탐",(유)금정산성토산주,유청길,부산시 금정구 산성로 453(금성동),051-517-0202,https://shopping.naver.com/fresh/traditionalalcohol/stores/100193300,,,19000
74,문경바람 백자 40%,일반증류주,40%,750ml / 375ml,"￦40,000(750ml), ￦24,000(375ml)(가격은 판매처 별로 상이할 수 있습니다.)",사과(문경산),농업회사법인(주)제이엘,이종기,경북 문경시 문경읍 새재로 609,054-572-0601,https://shopping.naver.com/fresh/traditionalalcohol/stores/100093073,,,40000
75,세우리,일반증류주,45%,700ml,"￦250,000(가격은 판매처 별로 상이할 수 있습니다.)","산양삼, 
                                        하수오, 
                                        구기자, 
                                        쌀",제주샘영농조합법인,김숙희,제주특별자치도 제주시 애월읍 애원로 283,064-799-4225,https://shopping.naver.com/fresh/traditionalalcohol/stores/100074415,,,250000
76,내장산 복분자주 지통1호,과실주,16%,700ml,"￦18,000 (가격은 판매처 별로 상이할 수 있습니다.)","복분자, 주정, 정제수, 설탕 등",내장산 복분자 영농조합,최성호,전북 정읍시 북면 장학 1길,063) 536-8080,https://shopping.naver.com/fresh/traditionalalcohol/stores/100083195,,,18000
77,문경바람 백자 25%,일반증류주,25%,750ml / 375ml,"￦30,000(750ml), ￦16,000(375ml)(가격은 판매처 별로 상이할 수 있습니다.)",사과(문경산),농업회사법인(주)제이엘,이종기,경북 문경시 문경읍 새재로 609,054-572-0601,https://shopping.naver.com/fresh/traditionalalcohol/stores/100093073,,,30000
78,황금보리소주25,증류식소주,25%,375ml,"￦42,500(375ml*5병)(가격은 판매처 별로 상이할 수 있습니다)","보리, 
                                        누룩, 
                                        정제수",황금보리(유)농업회사법인,김가해,충남 홍성군 서부면 서부로 696,041-631-8722,,http://www.황금보리.com/,,42500
79,부자 10,살균탁주,10%,375ml,"￦5,000 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 정제수, 고과당, 효모 등",배혜정 도가,배혜정,경기도 화성시 정남면 문학리 674-23,02) 3462-7328,https://shopping.naver.com/fresh/traditionalalcohol/stores/100069102,,,5000
80,산막 생유 막걸리_750ml,탁주,6%,750ml,"￦1,200(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        소맥분, 
                                        종국, 
                                        효모",농업회사법인신탄진주조(주),유황철,대전시 대덕구 신탄진로 738번길 128,042-932-0432,,https://stjjujo.modoo.at/,,1200
81,화주,일반증류주,25%,375ml,"￦13,000(가격은 판매처 별로 상이할 수 있습니다.)","국내산 쌀, 
                                        홍삼농축액, 
                                        정제수",내국양조,이명자,충남 논산시 연무읍 마종로 361,041-742-3413,https://shopping.naver.com/fresh/traditionalalcohol/stores/100113507,,,13000
82,회곡 생 막걸리,탁주,6%,750ml,"￦1,300 (가격은 판매처 별로 상이할 수 있습니다.)","쌀, 입국, 누룩, 아스파탐, 효모, 정제수, 아세설팜칼륨",회곡양조장,권용복,경상북도 안동시 풍산읍 산업단지 5길 39,054) 853-7777,,http://andongsul.modoo.at/,,1300
83,크라테 레드와인 드라이,과실주,11.5%,750ml,"￦48,000 (가격은 판매처 별로 상이할 수 있습니다)",산머루,수도산 와이너리,백승현,경북 김천시 증산면 금곡리3길 29,010-6403-3077,,http://www.krater1317.com/,,48000
