,상품명,주종,도수,용량,원재료,가격수정,ml당_가격,맛,바디감,향,목넘김,신맛,청량감,단맛,균형감,contents
146,모월 연,약주,13.0,500,쌀,18000,36.0,,2.0,,,3.0,2.0,1.0,,모월은 단순 전통적 방식을 재한 약주를 넘어 동시대를 사는 우리의 정신을 담아낸 술이다 저온 발와 숙성으로 거쳐 달지 않고 상큼한 맛과 드라이한 끝맛이 일품이다 병풍처럼 둘러진 치악산 아래 위치한 원주는 예로부터 텃세가 없고 정이 많은 곳이라 누구라도 살기 좋은 고장으로 치악산과 원주를 모월산 또는 모월이라 불렀다 동조합 주담은 그러한 어머니와 달 같은 따뜻한 이미지의 이름을 모월이라는 술을 빚고 어떤한 인공첨가물도 없이 빚어 머리가 맑아 지는 술 모월은 첨가물도 없어 마신 머리가 맑아지는 듯한 느낌의 깔끔함이 특징이다 모월은 증류식 소주 특유의 누룩 강하지 않아 부드러운 목 넘김이 좋다 맛이 깔끔하고 깊은 만들어 주는 동증류기를 설비 상압 방식으로 증류 한 방울 한 방울씩 정성으로 내린다 깊고 진한 맛은 오크통에서 숙성한 보리 밀로 증류한 위스키와는 맛이다 좋은 원재료가 좋은 술을 만든다 모월은 제조사 동조합 주담의 김원대표의 부모님이 직접 지은 원주 지역의 청정 쌀 토토미를 사용 만든다 쌀의 품종은 추청이다 김 대표는 맛있는 술의 근본은 쌀이다 원주는 맑은 물에서 키운 쌀 토토미가 서늘한 기온의 치악산의 기운은 저온 장기 발와 숙성에 적합하다 여기에 정성이 더져 달의 발 증류 달 이상의 숙성과정을 거치면 모월이 탄생한다고 말한다 술 빚기를 넘어 양조문를 만드는 양조장 제조사 동조합 주담은 차산업인증을 득하고 양조문를 나누는 사람들과 나누는 양조문기업으로 도약하는 발판을 마련다 전통주 체과 주변 관광자원원주천댐 공원 둘레길 등과 연계하는 다양한 프로그램을 구축하고 지역 농산물을 사용한 새로운 술을 개발에도 여념이 없는 동조합 주담은 워라밸 시대에 맞춰 남녀노소 즐길 수 있는 건전한 문복합공간으로 양조장을 단장하였다모월 연 엷은 노란빛깔을 갖고 있는 맑은 술로 쌉싸름한조금 쓴맛이 있는 맛이 특징적인 술이다 전체적으로 단맛이 없고 밀 누룩을 이용 신선한 산미와 떫은 맛이 입 안을 풍만하게 적셔준다 술을 마시고 난 에도 여운이 오래 간다 편한 일상속에서 저녁 식사와 함께하기 좋은 술이다 두부의 담백함을 살린 음식들과 잘 어울린다
147,모월 인,증류식소주,41.0,500,쌀,40000,80.0,,3.0,4.0,3.0,,,,,모월은 단순 전통적 방식을 재한 증류식 소주를 넘어 동시대를 사는 우리의 정신을 담아낸 술이다 병풍처럼 둘러진 치악산 아래 위치한 원주는 예로부터 텃세가 없고 정이 많은 곳이라 누구라도 살기 좋은 고장으로 치악산과 원주를 모월산 또는 모월이라 불렀다 동조합 주담은 그러한 어머니와 달 같은 따뜻한 이미지의 이름을 모월이라는 술을 빚고 어떤한 인공첨가물도 없이 빚어 머리가 맑아 지는 술 모월은 첨가물도 없어 마신 머리가 맑아지는 듯한 느낌의 깔끔함이 특징이다 모월은 증류식 소주 특유의 누룩 강하지 않아 부드러운 목 넘김이 좋다 맛이 깔끔하고 깊은 만들어 주는 동증류기를 설비 상압 방식으로 증류 한 방울 한 방울씩 정성으로 내린다 깊고 진한 맛은 오크통에서 숙성한 보리 밀로 증류한 위스키와는 맛이다 좋은 원재료가 좋은 술을 만든다 모월은 제조사 동조합 주담의 김원대표의 부모님이 직접 지은 원주 지역의 청정 쌀 토토미를 사용 만든다 쌀의 품종은 추청이다 김 대표는 맛있는 술의 근본은 쌀이다 원주는 맑은 물에서 키운 쌀 토토미가 서늘한 기온의 치악산의 기운은 저온 장기 발와 숙성에 적합하다 여기에 정성이 더져 달의 발 증류 달 이상의 숙성과정을 거치면 모월이 탄생한다고 말한다 술 빚기를 넘어 양조문를 만드는 양조장 제조사 동조합 주담은 차산업인증을 득하고 양조문를 나누는 사람들과 나누는 양조문기업으로 도약하는 발판을 마련다 전통주 체과 주변 관광자원원주천댐 공원 둘레길 등과 연계하는 다양한 프로그램을 구축하고 지역 농산물을 사용한 새로운 술을 개발에도 여념이 없는 동조합 주담은 워라밸 시대에 맞춰 남녀노소 즐길 수 있는 건전한 문복합공간으로 양조장을 단장하였다모월 인 증류주에서 단맛을 느낄 수 있는 술이다 전통 증류주에서 얻을 수 있는 고소한 입 안에 퍼지는 자극이 매우 부드럽다 온도를 높여 마시게 되면 오크통에 숙성된 오크이 살짝 올라오는 것이 매력적이다 모월 은 차게 마시지 말고 실온에 두고 잘 맡을 수 있는 잔에 마셔야 한다 숯불에 구운 돼지고기와 상의 조합을 이룬다
148,모월 청,약주,16.0,500,쌀,21000,42.0,,3.0,,,3.0,2.0,1.0,,모월은 단순 전통적 방식을 재한 약주를 넘어 동시대를 사는 우리의 정신을 담아낸 술이다 저온 발와 숙성으로 거쳐 달지 않고 상큼한 맛과 드라이한 끝맛이 일품이다 병풍처럼 둘러진 치악산 아래 위치한 원주는 예로부터 텃세가 없고 정이 많은 곳이라 누구라도 살기 좋은 고장으로 치악산과 원주를 모월산 또는 모월이라 불렀다 동조합 주담은 그러한 어머니와 달 같은 따뜻한 이미지의 이름을 모월이라는 술을 빚고 어떤한 인공첨가물도 없이 빚어 머리가 맑아 지는 술 모월은 첨가물도 없어 마신 머리가 맑아지는 듯한 느낌의 깔끔함이 특징이다 모월은 증류식 소주 특유의 누룩 강하지 않아 부드러운 목 넘김이 좋다 맛이 깔끔하고 깊은 만들어 주는 동증류기를 설비 상압 방식으로 증류 한 방울 한 방울씩 정성으로 내린다 깊고 진한 맛은 오크통에서 숙성한 보리 밀로 증류한 위스키와는 맛이다 좋은 원재료가 좋은 술을 만든다 모월은 제조사 동조합 주담의 김원대표의 부모님이 직접 지은 원주 지역의 청정 쌀 토토미를 사용 만든다 쌀의 품종은 추청이다 김 대표는 맛있는 술의 근본은 쌀이다 원주는 맑은 물에서 키운 쌀 토토미가 서늘한 기온의 치악산의 기운은 저온 장기 발와 숙성에 적합하다 여기에 정성이 더져 달의 발 증류 달 이상의 숙성과정을 거치면 모월이 탄생한다고 말한다 술 빚기를 넘어 양조문를 만드는 양조장 제조사 동조합 주담은 차산업인증을 득하고 양조문를 나누는 사람들과 나누는 양조문기업으로 도약하는 발판을 마련다 전통주 체과 주변 관광자원원주천댐 공원 둘레길 등과 연계하는 다양한 프로그램을 구축하고 지역 농산물을 사용한 새로운 술을 개발에도 여념이 없는 동조합 주담은 워라밸 시대에 맞춰 남녀노소 즐길 수 있는 건전한 문복합공간으로 양조장을 단장하였다모월 청 엷은 노란빛깔을 갖고 있는 맑은 술로 모월 비 쌉싸름한조금 쓴맛이 있는 맛이 더 강하게 느껴진다 모월이 누구나 편하게 즐길 수 있는 술이라면 술은 평상시에 술을 즐기는 사람들에게 추천할 만 하다 음식또한 모월 비 맛과 강하기 담백한 음식보다는 양념된 고기류와 잘 어울린다
149,모을동주 소주,증류식소주,43.0,350,쌀,15000,42.86,,4.0,3.0,4.0,,,,,모을동주 소주는 철원군농민가 주축이되어 설립한 대작영농조합에서 생산한 철원 오대쌀 빚은 술이다 찰지고 맛 좋기로 유명한 철원 오대쌀 식생의 변로 쌀 소비는 줄어들고 귀한 쌀이 팔리지 않는 실을 극복하고자 농민들이 의기투합하여 철원 오대쌀을 용하여 부가가치 있는 술을 빚어 판매하기로 한다 두번째 술인 모을동주 약주 소주 제품이 출시된 강원도를 대표하는 하나의 술로 자리매김하고 강원도를 대표하는 철원 오대쌀 술을 빚다 철원 오대쌀은 전 인적이 끊긴 비무장지대에서 러드는 청정한 물과 발 고지대의 신선한 바람 기름진 깨끗한 자연경이 그대로 보존된 천의 무공 청정지역에서 재배된다철원 지역은 병충 발생이 적어 농약살포 수가 적어 저농약 쌀로 전국 최초로 품질인증을 받은 쌀이다 고품질 쌀 생산평가 대통령상 전국 쌀 축제 평가 대통령상을 수상한 명품쌀이다 대작영농조합에서 생산하는 모든 술은 값비싼 철원 오대쌀 만든다 통일을 염원하는 모을동주 브랜드에 담긴 뜻 모을동주란 이름은 고구려시대 조상이 철원 들판을 부르던 모을동비에서 따왔다 말을 타고 요동과 만주벌을 넘나들던 고구려인의 기상을 되살리고 남북통일의 씨앗이 되고자 하는 철원인의 염원을 담았다 통일철원의 들판에서 오대쌀을 키우고 거둬 술로 빚어 하늘에 바치고 사람과 나누며 큰 잔치를 열고픈 바람을 모을동주란 이름에 새겼다 지역을 넘어 전국구로 철원군농민의 도전은 계속된다 철원 오대쌀의 소비를 늘려보고자 시작한 술 생산은 출시한 대작 생막걸리에 이어 모을동주 약주 모을동주 소주로 주종을 다양서 출시하고 강원도 지역축제에서 시음을 통 알리고 로컬푸드장터인 마켓에서 관광객을 대상으로 보동에 여념이 없다 철원 오대쌀의 기가 가득한 술로 철원 지역을 넘어 대한민국을 대표하는 명주로 나아가기 위 철원군 농민들의 도전은 계속된다모을동주 소주 기분 좋은 담색을 띠고 있는 소주다 하늘에서 내리는 꽃비와 같은 경쾌한 색이다 새콤한 맛에서 시작하지만 이내 뭉근한 터치감이 입속을 장식하고 마무리는 부드러운 단맛으로 마무리되는 느낌이 술이 가진 고급성을 그대로 나타낸다 뭉근한 맛으로 안주 없이 술만 즐겨도 충분한 매력이 있으며 음식과 즐긴다면 자극이 적은 잡채 경단 등을 추천한다 차갑게 마시는 것을 추천하며 입속에 남는 찹쌀 특유의 단맛이 매력적이다
150,모을동주 약주,약주,13.0,375,쌀,13000,34.67,,4.0,,,3.0,3.0,4.0,,모을동주 약주는 철원군농민가 주축이되어 설립한 대작영농조합에서 생산한 철원 오대쌀 빚은 술이다 찰지고 맛 좋기로 유명한 철원 오대쌀 식생의 변로 쌀 소비는 줄어들고 귀한 쌀이 팔리지 않는 실을 극복하고자 농민들이 의기투합하여 철원 오대쌀을 용하여 부가가치 있는 술을 빚어 판매하기로 한다 두번째 술인 모을동주 약주 소주 제품이 출시된 강원도를 대표하는 하나의 술로 자리매김하고 강원도를 대표하는 철원 오대쌀 술을 빚다 철원 오대쌀은 전 인적이 끊긴 비무장지대에서 러드는 청정한 물과 발 고지대의 신선한 바람 기름진 깨끗한 자연경이 그대로 보존된 천의 무공 청정지역에서 재배된다철원 지역은 병충 발생이 적어 농약살포 수가 적어 저농약 쌀로 전국 최초로 품질인증을 받은 쌀이다 고품질 쌀 생산평가 대통령상 전국 쌀 축제 평가 대통령상을 수상한 명품쌀이다 대작영농조합에서 생산하는 모든 술은 값비싼 철원 오대쌀 만든다 통일을 염원하는 모을동주 브랜드에 담긴 뜻 모을동주란 이름은 고구려시대 조상이 철원 들판을 부르던 모을동비에서 따왔다 말을 타고 요동과 만주벌을 넘나들던 고구려인의 기상을 되살리고 남북통일의 씨앗이 되고자 하는 철원인의 염원을 담았다 통일철원의 들판에서 오대쌀을 키우고 거둬 술로 빚어 하늘에 바치고 사람과 나누며 큰 잔치를 열고픈 바람을 모을동주란 이름에 새겼다 지역을 넘어 전국구로 철원군농민의 도전은 계속된다 철원 오대쌀의 소비를 늘려보고자 시작한 술 생산은 출시한 대작 생막걸리에 이어 모을동주 약주 모을동주 소주로 주종을 다양서 출시하고 강원도 지역축제에서 시음을 통 알리고 로컬푸드장터인 마켓에서 관광객을 대상으로 보동에 여념이 없다 철원 오대쌀의 기가 가득한 술로 철원 지역을 넘어 대한민국을 대표하는 명주로 나아가기 위 철원군 농민들의 도전은 계속된다모을동주 약주 기분 좋은 담색을 띠고 있는 약주다 하늘에서 내리는 꽃비와 같은 경쾌한 색이다 새콤한 맛에서 시작하지만 이내 뭉근한 터치감이 입속을 장식하고 마무리는 부드러운 단맛으로 마무리되는 느낌이 술이 가진 고급성을 그대로 나타낸다 뭉근한 맛으로 안주 없이 술만 즐겨도 충분한 매력이 있으며 음식과 즐긴다면 자극이 적은 잡채 경단 등을 추천한다 차갑게 마시는 것을 추천하며 입속에 남는 찹쌀 특유의 단맛이 매력적이다
151,무주 구천동 머루와인,과실주,12.0,750,국내산산머루,25000,33.33,,,,,2.0,1.0,2.0,,머루 재배지로 유명한 청정 전북 무주의 머루로 빚은 한국와인이다 제품과 제조사 많은 주류품평 정부로부터 수상하며 품질을 인정받았다 년간 한국 와인 개발에 노력하고 있는 덕유양조에서 생산하는 제품이다 전통방식으로 숙성시켜 만든 무구천동 머루와인은 알코올 도수가 낮고 머루 특유의 지니고 있어 여성에게 큰 인기를 끌고 있는 머루와인이다 몸에 좋은 국내산 산머루로 빚은 한국와인 머루의 열매즙은 피부암에 열매와 잎은 괴병 치료약으로 쓴다 특 비타민 결핍증인 야맹증에 과가 산머루 잎 추출물은 구토 동상에 좋고 열매는 강심제 조약으로 뿌리 껍질은 고름집 부스럼 등에 머루는 신맛이 강하여 생식용으로 즐기는 사람은 드물지만 머루로 술을 담그면 색이 매우 아름답고 술맛 좋은 것으로 알려져 머루와인의 명가 덕유양조가 선보이는 제품 제조사 덕유양조는 무주 구천동의 머루를 머루와인과 머루주를 오래 전부터 빚어온 머루주 관련 선구자이다 머루 관련 다양한 제품 개발을 통 축척된 양조기술로 제품을 생산하여 머루와인 머루주에서는 단연 독보적인 제조사라고 할 수 덕유양조에서 생산한 머루와인은 자연의 맛 색이 어우러진 장인정신으로 만든 고품질의 와인이다 많은 수상을 기록한 신뢰할 수 있는 제조사 제조사 덕유양조는 전통식품 관련 농림부장광상 무주군 산업장 수상 한국전통식품 베스트 동상수상 국무총리상 수상 대한민국 고객만족대상 신지식인 농업인장 수상 대한민국 우수특산물품 대상 전북 경 대청상 수상 한국 대 스타 지정 대한민국 우리술품평 수상 려운 수상기록을 가지고 있는 신뢰할 수 있는 전통주 제조사이다무주 구천동 머루와인 검붉은 빛의 묵직한 와인이다 잘 익은 머루과 산뜻한 발이 올라온다 입에 넣는 순간 달콤함과 자극적인 알코올맛이 입 안 전체를 채운다 첫 맛은 달지만 천천 올라오는 산미가 술 맛의 조를 잘 이루게 한다 술을 마시고 난 미세한 떫은 맛이 식욕을 불러 일으킨다 삼겹살과 잘 어울린다
152,무주 구천동 산머루주,과실주,16.0,750,국내산산머루,15000,20.0,,,,,2.0,1.0,2.0,,머루 재배지로 유명한 청정 전북 무주의 머루로 빚은 한국와인이다 제품과 제조사 많은 주류품평 정부로부터 수상한 년간 한국 와인 개발에 노력하고 있는 덕유양조에서 생산하는 제품이다 전통방식으로 숙성시켜 만든 구천동 머루와인은 알코올 도수가 낮고 머루 특유의 지니고 있어 여성에게 큰 인기를 끌고 있는 머루와인이다 몸에 좋은 국내산 산머루로 빚은 한국와인 머루의 열매즙은 피부암에 열매와 잎은 괴병 치료약으로 쓴다 특 비타민 결핍증인 야맹증에 과가 산머루 잎 추출물은 구토 동상에 좋고 열매는 강심제 조약으로 뿌리 껍질은 고름집 부스럼 등에 머루는 신맛이 강하여 생식용으로 즐기는 사람은 드물지만 머루로 술을 담그면 색이 매우 아름답고 술맛 좋은 것으로 알려져 머루와인의 명가 덕유양조가 선보이는 제품 제조사 덕유양조는 무주 구천동의 머루를 머루와인과 머루주를 오래 전부터 빚어온 머루주 관련 선구자이다 머루 관련 다양한 제품 개발을 통 축척된 양조기술로 제품을 생산하여 머루와인 머루주에서는 단연 독보적인 제조사라고 할 수 덕유양조에서 생산한 머루와인은 자연의 맛 색이 어우러진 장인정신으로 만든 고품질의 와인이다 많은 수상을 기록한 신뢰할 수 있는 제조사 제조사 덕유양조는 전통식품 관련 농림부장광상 무주군 산업장 수상 한국전통식품 베스트 동상수상 국무총리상 수상 대한민국 고객만족대상 신지식인 농업인장 수상 대한민국 우수특산물품 대상 전북 경 대청상 수상 한국 대 스타 지정 대한민국 우리술품평 수상 려운 수상기록을 가지고 있는 신뢰할 수 있는 전통주 제조사이다무주 구천동 산머루주 짙은 담갈색 빛을 가지고 있으며 익의 과실의 껍질에서 나는 올라온다 단맛과 신맛의 조가 잘 갖춰있지만 술을 마시고 난 에는 단맛의 여운이 오래 남는다 생선 조림과 잘 어울린다
153,문경바람 백자 25%,일반증류주,25.0,750,사과,30000,40.0,,3.0,3.0,4.0,,,,,문경바람 오크는 오미자와인과 오미자브랜디로 한국술의 새로운 지평을 연 위스키 마스터블랜더 이종기 장인에 탄생한 프리미엄 증류주이다 문경바람은 당도가 높은 문경에서 자란 사과를 착즙 발하여 차 차 증류하여 문경 전통도자기에서 일간 숙성한 제품이다 부드러운 목 넘김에 이어 사과과 민트의 여운이 입안에 오래 지속된다 다양한 부재료를 용하여 칵테일로 즐기기에도 좋은 제품이다 마스터 블랜더 이종기 명인의 양조기술 결정체 문경바람 백자는 한국 최초의 위스키 마스터블랜더 이종기 명인의 년간 쌓아온 양조 기술로 탄생한 고급 증류주이다 맛과 당도가 우수한 문경사과를 원료로 정통발공법으로 제조한 사과와인을 증류하여 오크통에서 숙성하였다 대한민국 우리술품평 증류주 부문에서 최우수상을 수상하며 뛰어난 품질을 인정 받았다 엄선된 친경 문경 사과로 빚은 사과증류주 문경 사과는 밤낮의 높은 일교차와 비옥한 토질 청정자연경에서 재배되어 육질이 단단하고 짙으며 당도가 높은 것으로 유명하다 문경바람은 발고도 이상의 청정지역에 위치한 개 농가가 모인 백설공주영농조합법인에서 재배한 친경 사과를 원료로 만들어진 문경을 하나의 지역특산주이다 찾아가는 양조장으로 선정 제조사 농업사법인주제이엘오미나라는 농림축산식품부에서 지원육성하는 찾아가는 양조장에 선정되었다 와이너리 견학과 다양한 체을 경할 수 와인의 문와 에티켓을 배워보는 와인 에티켓 스파클링와인과 증류주의 제조 기법 교육 프로그램 등이 준비되어 있다문경바람 백자 살짝 알코올도수는 낮으나 사과을 즐기기에는 충분 좋은 수준이다 가벼운 안주류로 아몬드 초콜릿 올리브 견과류 육류로는 육포 등을 추천한다 과일 안주 꿀물 등과 마셔도 좋다 가볍게 탄산 얼음을 넣은 온더록 태도 식중주 태로 즐겨도 충분 매력적이다
154,문경바람 백자 40%,일반증류주,40.0,750,사과,40000,53.33,,4.0,3.0,4.0,,,,,문경바람 오크는 오미자와인과 오미자브랜디로 한국술의 새로운 지평을 연 위스키 마스터블랜더 이종기 장인에 탄생한 프리미엄 증류주이다 문경바람은 당도가 높은 문경에서 자란 사과를 착즙 발하여 차 차 증류하여 문경 전통도자기에서 일간 숙성한 제품이다 부드러운 목 넘김에 이어 사과과 민트의 여운이 입안에 오래 지속된다 다양한 부재료를 용하여 칵테일로 즐기기에도 좋은 제품이다 마스터 블랜더 이종기 명인의 양조기술 결정체 문경바람 백자는 한국 최초의 위스키 마스터블랜더 이종기 명인의 년간 쌓아온 양조 기술로 탄생한 고급 증류주이다 맛과 당도가 우수한 문경사과를 원료로 정통발공법으로 제조한 사과와인을 증류하여 오크통에서 숙성하였다 대한민국 우리술품평 증류주 부문에서 최우수상을 수상하며 뛰어난 품질을 인정 받았다 엄선된 친경 문경 사과로 빚은 사과증류주 문경 사과는 밤낮의 높은 일교차와 비옥한 토질 청정자연경에서 재배되어 육질이 단단하고 짙으며 당도가 높은 것으로 유명하다 문경바람은 발고도 이상의 청정지역에 위치한 개 농가가 모인 백설공주영농조합법인에서 재배한 친경 사과를 원료로 만들어진 문경을 하나의 지역특산주이다 찾아가는 양조장으로 선정 제조사 농업사법인주제이엘오미나라는 농림축산식품부에서 지원육성하는 찾아가는 양조장에 선정되었다 와이너리 견학과 다양한 체을 경할 수 와인의 문와 에티켓을 배워보는 와인 에티켓 스파클링와인과 증류주의 제조 기법 교육 프로그램 등이 준비되어 있다문경바람 백자 머금고 난 이에 코로 올라오는 뭉근한 사과 상쾌함이 마실 수록 개성이 느껴지는 증류주이다 가벼운 안주류로 아몬드 초콜릿 올리브 견과류 육류로는 육포 등을 추천한다 과일안주 꿀물 등과 마셔도 좋다 가볍게 탄산 얼음을 넣은 온더록 태도 나쁘지 않다
155,문경바람 오크,일반증류주,40.0,750,사과,44000,58.67,,4.0,4.0,4.0,,,,,문경바람 오크는 오미자와인과 오미자브랜디로 한국술의 새로운 지평을 연 위스키 마스터블랜더 이종기 장인에 탄생한 프리미엄 증류주이다 문경바람은 당도가 높은 문경에서 자란 사과를 착즙 발하여 차 차 증류하여 유러피안 오크통에 숙성한 제품이다 오크통에서 우러나오는 삼나무 단맛을 느낄 수 있는 제품이다 마스터 블랜더 이종기 명인의 양조기술 결정체 문경바람 오크는 한국 최초의 위스키 마스터블랜더 이종기 명인의 년간 쌓아온 양조 기술로 탄생한 고급 증류주이다 맛과 당도가 우수한 문경사과를 원료로 정통발공법으로 제조한 사과와인을 증류하여 오크통에서 숙성하였다 대한민국 우리술품평 증류주 부문에서 최우수상을 수상하며 뛰어난 품질을 인정 받았다 엄선된 친경 문경 사과로 빚은 사과증류주 문경 사과는 밤낮의 높은 일교차와 비옥한 토질 청정자연경에서 재배되어 육질이 단단하고 짙으며 당도가 높은 것으로 유명하다 문경바람은 발고도 이상의 청정지역에 위치한 개 농가가 모인 백설공주영농조합법인에서 재배한 친경 사과를 원료로 만들어진 문경을 하나의 지역특산주이다 찾아가는 양조장으로 선정 제조사 농업사법인주제이엘오미나라는 농림축산식품부에서 지원육성하는 찾아가는 양조장에 선정되었다 와이너리 견학과 다양한 체을 경할 수 와인의 문와 에티켓을 배워보는 와인 에티켓 스파클링와인과 증류주의 제조 기법 교육 프로그램 등이 준비되어 있다문경바람 오크 진한 오크 속에서 피어 오르는 물결같은 사과이 특징이다 가벼운 안주류로 아몬드 초콜릿 올리브 견과류 육류로는 육포 등을 추천한다 과일 안주 꿀물 등과 마셔도 좋다 가볍게 탄산 얼음을 넣은 온더록 태도 나쁘지 않다
156,문배술 헤리티지 23도,증류식소주,23.0,375,"메조,찰수수,쌀",50000,133.33,1.0,1.0,2.0,,,,,,문배술은 메조와 찰수수를 빚어낸 순곡의 증류주임에도 문배나무의 과실 기가 난다고 하여 문배술이라 말하고 있다술의 생명력은 맛이요 맛의 심은 기라고 할 수 있는데 문배술은 알콜도수 임에도 부드러운 목넘김과 입속 가득한 기를 느낄 수 있는 우리의 전통소주이다 문배술 리티지 도 제품은 문배술의 맑고 청아한 맛과 모던한 패키지에 담아낸 제품이다 기존 알코올도수 도에서 도로 낮춰 가볍게 즐길수 있는 제품이다 왕에게 진상된 으뜸가는 술 문배술 고려시대 당시 신하들은 왕에게 앞다퉈 좋은 술을 진상하여 벼슬을 얻게 되었는데 중 한 가문의 술이 문배술이었다 가문에서는 양조비법을 비밀로 하고 왕에게만 술을 진상하여 왔으나 고려 중엽 손들에 널리 파급되었다고 한다 일제침략기 전통주 말살 정책에도 비법을 자손에게 전수하여 방 이부터 지금까지 대에 걸쳐 문배술을 빚고 재는 전통식품명인 제로 지정된 이기춘 명인에 생산되고 시인의 붓도 던지게 하는 풍류의 술 고려 중엽의 시인 김기원은 대동강변 연광정에서 문배술로 돋구다가 대동강 동쪽으로는 끝없이 산이 이어지고 성 한쪽으로는 강물이 질펀하게 러가는데라고 운필하고 한숨을 돌리기 위 문배술을 잔에 채울 것을 청한다 문배술의 맛에 취 자리의 문배술은 동이나고 말았다 그러자 시인 김기원은 술이 떨어지고 없으니 시도 일어나지 않는다면서 붓을 던지고 말았다고 한다 이유로 시는 결구가 없는 영원한 미완의 시로 남게 되었다 문배이 가득하고 깨끗함이 오래간다 문배술은 메조와 찰수수를 빚어낸 순곡의 증류주임에도 문배나무의 과실 기가 난다고 하여 문배술이라고 한다 문배술의 자랑인 술은 인공합물 또는 천연합물 등의 첨가물에서 나오는 아니다 술을 제조하는 과정에서 첨가물로 넣지 않고 깨끗이 증류한 술이다 역사적인 순간을 함께한 명품주 역사적인 남북 정상담의 만찬 공식 건배주로 문배술이 선택되었다 북한 고위급 인사들이 문배술을 처음 맛본 것은 남북 총리급 담애주가로 알려진 연묵 전 총리가 서울을 방문을 만찬 석상에서 문배술의 맛을 극찬한 문배술은 북한 고위층의 관심을 끌기 시작다 남북정상담 공식술올 올려졌고 김대중 전 대통령과 김정일 전 국방위원장은 문배술로 건배하는 역사적인 순간을 하였다문배술 리티지 도 맑고 투명하며 익은 곡이 올라온다 알코올 도수가 높은 것은 아니지만 술 맛은 부드러워 알코올 도수가 더 낮은 숙성된 맛을 낸다 자극적인 맛이 없어 누구나 편하게 즐길 수 있는 술이다 첫맛과 뒷맛이 매우 깔끔하다 복지리 등과 잘 어울린다
157,문희 '문경오미자 수제 전통주',살균탁주,12.0,700,햇찹쌀,21000,30.0,,,,,1.0,3.0,3.0,,프리미엄 탁주인 문는 문경주조가 위치한 문경의 옛 이름인 문에서 따온 술로 기쁜 소식을 전한다는 의미를 담고 모든 술 빚는 과정 하나하나를 손으로 직접 하고 있는 수제전통주로 겨운 육체노동 뒤 토 벽돌로 지은 토 방에서 자연 건조로 숙성시키는 기다림 끝에서야 진짜배기 탁주를 얻을 수 재료를 세 번에 담는 전통 삼양주 기법으로 일에서 일간을 숙성시켜 빚고 있는 문에 오미자를 첨가하여 만든 술 인공 감미료를 전 쓰지 않고 유기농 찹쌀과 전통누룩 천연 암반수로만 빚어 숙취가 없고 풍미가 상당 뛰어난 탁주다 항아리 숙성 문경주조는 술을 숙성시키는 용기는 원재료만큼이나 중요하다고 생각하여 국내 무문제 명인의 장인정신이 깃든 항아리에 술을 숙성하고 발 역시 전통식 토방과 자연조건에 가까운 발공간으로 술을 빚는 과정 하나하나 세심하고 꼼꼼하게 정도를 지켜나가고 숙취가 없는 술 수제 전통주는 문경주조 전통의 누룩에 유기농 찹쌀과 문경 청정동로의 맑은 물로 담궈 목 넘김이 좋고 묵직하고 짙은 맛의 막걸리를 맑게 걸러내어 깔끔함과 산뜻함을 주는 술이다 인공감미료를 넣지 않아 숙취가 없는 것이 가장 큰 장점이다 찾아가는 양조장 아무리 찾기 어려운 깊숙한 곳에 있어도 술 맛만 좋으면 손님은 끊이지 않고 찾아온다는 중국의 속담이 있듯 문경주조 역시 농림식품 부에서 선정한 찾아가는 양조장으로 선정되어 많은 사람들의 발길이 끊이지 않고 문경주조를 찾아 방문하면 술 빚기 체과 다양한 볼거리를 만나 볼 수 있으며 신청은 페이지나 전를 통 예약이 가능하다문오미자 은은한 꽃 기와 과일 오랜 숙성에서 나오는 바닐라 특징이며 크림같은 부드러운 목넘김을 가지고 산미는 적고 단맛이 전체 술 분위기를 가져온다 무침과 잘 어울린다
