,정보,상품명
13,김포란 금을 파는 가게이고 예주란 맛있는 술을 뜻한다. 즉 금처럼 값지고 맛 있는 술을 담아 고객에게 전한다는 의미를 담고 있다. 김포예주 프리미엄은 옅은 황금빛을 보이고 있으며 거부할 수 없는 미묘한 단맛이 확실하게 느껴지는 모난 곳이 없는 친근한 맛을 자아낸다.,김포예주 프리미엄 
14,죽력고는 육당 최남선이 감홍로 이강주와 함께 조선 3대 명주(名酒)로 꼽았던 술이다. 대나무를 토막내 불을 지펴 흘러내리는 대나무즙 죽력에 대잎 석창포 계심 등을 넣고 소주를 내려 증류시킨 술이다. 고는 최고급 약소주에만 붙일 수 있는 술의 극존칭으로 그 명성이 뛰어나다. 투명한 황색에 단맛과 은은한 대나무향이 상쾌하다. 죽력은 대나무 잎과 가지를 사흘 동안 고아 내린 것이다. 쌀과 누룩으로 20일 걸려 술을 빚은 뒤 죽력을 뿌린 소줏고리로 증류해 만든 술이 죽력고다. 주로 대나무가 많은 전라도 지방에서 빚어진 증류주로 중풍으로 마비될 때 약으로 썼다고 전해진다.,죽력고 
15,제조사 더한에서 제조하는 매실주는 특별하다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용한다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 재품을 만든다는 제품 철학으로 황매를 이용한다. 또한 천연꿀을 첨가하여 숙취 해소에 도움이 되어 음주 후 머리가 아프지 않은 것이 특징이다. 국내외 주류품평회에서 수 많은 수상기록이 말해주듯 매실원주의 제품력은 단연 최고이다.,매실원주 
16,구운 매실을 뜻하는 오매와 증류주의 어원인 아락의 의미를 담고 있습니다. 배를 증류한 원액과 주독을 치유한다는 구운 매실로 빚어 부드러운 맛과 매실 특유의 향이 은은하게 입안을 채우는 프리미엄 전통주이다. 2015년 대한민국 우리술품평회 리큐르 부문 최우수상을 수상하고 2016년 몽드셀렉션 금상 샌프란시스코 주류품평회 2개 부문 수상(패키지 디자인 맛)하는 영예를 안았다.,오매락퍽 
17,자연 그대로의 가치 그 가치를 누구나 누릴 수 있도록 연구하는 발효식품전문기업 우포의 아침이 할아버지대부터 내려온 발효기술을 바탕으로 빚어낸 청주이다. 한국술의 아름다운 역사를 담아내자는 모토로 생산한 술로 여름에는 차게 겨울에는 따뜻하게 마시면 색다른 풍미를 느낄 수 있다. 제조사 우포의 아침은 술을 비롯해 발효 식초 건강 음료 양조발효 장아찌 등 발효식품 전문기업으로 고유의 발효기술을 기반으로 바이오기업으로 도약하고자 하는 미래형 양조장이다.,조선주조사 
18,고운달은 오미자를 원료로 한국와인의 새로운 지평을 연 위스키 마스터 블랜더 이종기 장인에 의해 탄생한 프리미엄 증류주이다. 오미자 브랜디 고운달은 친환경 오미자로 3년을 발효 숙성한 오미자와인을 증류한 이후 추가로 3년을 숙성한 제품이다. 오미자가 가진 5가지 맛인 단맛 쓴맛 매운맛 짠맛 신맛 모두 은은하게 느껴지는 한국적인 브랜디이다.,고운달 오크 
19,느린 마을 막걸리는 계절마다 맛이 약간씩 다르다. 쌀과 물 누룩만을 이용해서 빚는 술이기 때문에 계절에 따라 온도와 습도 등 계절마다 다른 숙성 환경이 그 이유. 일체 다른 인공감미료를 넣지 않아 만들어 원재료 그대로의 맛을 느낄 수 있는 막걸리다.,느린마을 막걸리 
20,하얀 구름은 어떤 맛일까?라는 재미 있는 질문에서 시작된 담은은 경기도 포천시 최고급 쌀을 주원료로 사용하였으며 전통누룩에서 뽑아낸 우수한 균주를 사용하였다. 합성인공감미료를 전혀 사용하지 않은 제품으로 미생물 조절 발효 방식으로 냉장보관을 하여 개봉 후 뚜껑을 다시 닫아 냉장보관하여도 술맛에 변화가 없다. 1932 포천일동막걸리의 프리미엄 막걸리 제품이다.,담은 
21,녹고의 눈물은 5년 이상된 제주도의 섬오가피 뿌리만으로 순수 발효한 오가피 발효주이다. 물 바람 불이 만들어 낸 생명의 약초 섬오가피는 제주도의 10대 약용작물 가운데 하나이다. 알코올 도수 16도로 마시기에 부담 없는 술로 감미 산미 신미 청량미가 적절한게 조화를 이루고 부드러운 점성과 바디감을 느낄 수 있다. 최근 애주가들에게 큰 주목을 받고 있는 제품이다.,녹고의 눈물 
22,황진이는 청정지역에서 생산된 좋은쌀과 지리산 자락의 오미자와 산수유를 원료로 옛 선조의 전통기법으로 빚은 토속 민속주로써 숙취가 없고 부드럽고 청량감이 풍부하여 소비자가 즐겨 찾는 술이다. 또한 호주 일본 중국 등으로 수출하여 세계인으로부터 사랑받고 있는 제품이다.,황진이 
23,문경바람 오크는 오미자와인과 오미자브랜디로 한국술의 새로운 지평을 연 위스키 마스터블랜더 이종기 장인에 의해 탄생한 프리미엄 증류주이다. 문경바람은 당도가 높은 문경에서 자란 사과를 착즙 발효하여 1차 2차 증류하여 유러피안 오크통에 숙성한 제품이다. 오크통에서 우러나오는 삼나무 향과 단맛을 느낄 수 있는 제품이다.,문경바람 오크 
24,제주도는 지정학적 특성상 논농사를 많이 지을 수 없어 쌀이 귀했고 대신 차조로 술을 빚어 왔다. 제주도의 특산품인 문고리처럼 생긴 떡을 쪄서 밑술을 하는데 그 떡을 오메기떡이라해서 오메기술이라고도 불린다. 오메기는 좁쌀(차조)을 일컫는 제주도의 방언으로 누룩과 함께 발효시켜 윗부분의 맑은 술만을 떠내 숙성시킨 술이 오메기 맑은술이다.,오메기 맑은술 
25,톡 쏘는 알밤동동은 기성세대만 마신다는 막걸리의 이미지를 버리고 신세대를 겨냥한 새로운 막걸리로 우리 햅쌀에 국산 밤을 달달 하게 녹여 톡 쏘는 탄산까지 조합해 최적의 레시피로 완성한 상품이다. 20~30대  새로운 스타일의 막걸리로 캔의 디자인부터 아이디어가 톡톡 넘치는 알밤동동은 달달 한 맛이 밤맛 아이스크림을 먹는 듯한 착각을 불러 일으켜 누구나 쉽게 마실 수 있는 막걸리다.,톡 쏘는 알밤동동 
26,한 숟 떠서 오물오물 머금는 독특하고 이색적인 막걸리인 이화주. 쫀득쫀득한 요거트를 연상시키는 술로 떠먹거나 물에 타서 마시는 등 기호에 따라 먹는 재미가 있다. 배꽃이 필 무렵에 빚는 술이라는 이름이 붙여진 이 이화주는 고려시대부터 전해져 내려오는 전통주로 양반가에서 마시던 귀한 술이었다. 전통쌀 누룩을 사용하여 새콤달콤 유기산과 효모의 맛이 그대로 살아있는 그 특유의 맛이 참 좋은  전통주다.,이화주 
27,고려시대 몽고 군의 침략으로 주둔지화 되었던 제주에서 몽고인들의 증류기법이 그대로 전해지면서 제주도에서도 증류주가 생산이 되었는데 제주도 최초의 증류주가 바로 고소리술이다. 제주샘주의 오메기술을 증류해서 빚는 고소리 술. 소주를 내리는 도구를 \소줏고리\라고 하는데 제주도에서는 이 소줏고리를 \고소리\라고 부르기 때문에 고소리술이란 이름이 붙었다. 고소리술은 농림축산 식품부의 우리술 품평회에서 최우수상과 2번의 대상 수상으로 3년 연속으로 수상하는 기염을 토하며 개성소주 안동소주와 함께 대한민국 3대 소주로 많이 알려져 있다.,고소리 술 
28,사군자(四君子) 중 하나인 대나무는 많은 문인고사들이 그 청고하고 단아한 정취와 품격을 나타내고자 사용한 예술에 불가결의 존재였으며 동시에 군왕의 높은 덕망과 비유되어 칭송되어 그 고결한 아름다움이 마치 군자와 같다고 비유되어왔다. 대한민국 식품명인 22호 양대수 명인의 혼이 담긴 담양의 대나무 전통주인 담양 대통대잎술은 쌀과 각종 한약재를 넣어 빚고 대나무 통에서 2차 숙성을 거쳐야 비로소 그 향과 맛이 녹아있는 좋은 술로 태어나게 된다.,대통대잎술 
29,안동소주 일품 21도 제품은 은 전통적인 안동소주 제조방식으로 술을 빚은 후 저도주를 선호하는 소비자의 입맛에 맞춰 기존 40도에서 21도로 가볍게 마실 수 있는 제품으로 출시하였다. 2015년 대한민국 우리술품평회에서 증류식소주 부문 대상을 수상 2016년 세계적인 권위의 주류품평회 몽드셀렉션에서 금상을 수상한 제조사 안동소주일품에서 선보이는 제품으로 패키지 디자인 또한 현대적인 감각으로 디자인하여 안동소주를 현대적으로 재해석한 제품이다.,안동소주 일품 21도 
30,창녕 단감만의 달달한 한 모금 맑은내일 Winery 단감명작은 봄 여름을 지나 늦가을까지 충분히 잘 익은 단감을 한 병에 담았다. 과육에서 얻을 수 있는 자연 그대로의 맛과 영양성분을 최대한 추출하는 특허증(제 10-0930943호)을 취득했다. 이 제조 공법이 담긴 와인은 오직 맑은내일(우포의아침)의 전통주로만 만날 수 있다.,맑은내일 Winery 단감명작 
31,월매 쌀막걸리는 탄산과 막걸리의 절묘한 만남으로 탄생한 신세대 맞춤용 막걸리이다. 저온에서 완전숙성시킨 후 첨단 설비로 살균처리하고 천연탄산을 첨가했다. 신선하게 톡 쏘는 맛과 상큼한 맛이 일품이며 뒷맛이 개운하고 트림과 숙취가 없다. 캔 포장이라 휴대가 간편하고 장기 보존이 가능한 현대적인 막걸리이다.,월매 쌀막걸리 
32,한산소곡주는 백제 1500년의 오랜 역사와 전통을 고스란히 담아 전해 내려오는 전통주다. 현재 며느리인 우희열 명인이 1979년 충남 무형문화재 3호로 인정받은 故 김영신 여사에게 전수받아 그 명맥을 계승해오고 있다. 찹쌀과 누룩을 주원료로 들국화 메주콩 생강 홍 고추 등의 조화 속에 100일간 숙성을 하여 빚어지는 전통주인 한산소곡주는 감미로운 향과 특유의 감칠맛 때문에 취하면 자리에서 일어설 줄 모른다고 하여 ‘앉은뱅이 술’이란 이름으로도 불린다.,한산소곡주 
33,제조사 더한에서 제조하는 매실주는 특별하다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용한다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 재품을 만든다는 제품 철학으로 황매를 이용한다. 또한 천연꿀을 첨가하여 숙취 해소에 도움이 되어 음주 후 머리가 아프지 않은 것이 특징이다. 원매 프리미엄은 황매실 100%로 3년 이상 숙성 시켜 매실청으로 만든 프리리엄 매실주이다. 국내외 주류품평회에서 수 많은 수상기록이 말해주듯 원매 프리미엄의 제품력은 단연 최고이다.,원매 프리미엄 
34,전통주의 명가 (주)국순당에서 생산하는 1000억 막걸리 프리바이오는 내 몸속의 좋은 유산균을 키워주고 나쁜 유해균을 억제시키는 역할을 하며 장내 유익균의 먹이가 되는 성분인 프리바이오틱스를 함유한 막걸리다.식물성 유산균을 특화한 국순당의 1000억 유산균 막걸리와 동일 과정으로 유산균을 만들어 내고 (두 번의 쌀 발효와 세 번의 유산균 발효) 이후의 공정에서 유산균의 먹이가 되는 프리바이오틱스를 만들어 낸다. 1000억 유산균 막걸리가 내 몸속에 식물성 유산균을 늘려주면 1000억 막걸리 프리바이오는 식물성 유산균이 잘 활성화 되도록 해 주는 역할을 한다.,1000억 막걸리 프리바이오 
35,은척 양조장이 위치한 상주는 삼백의 고을이라 하여 쌀 누에 곶감의 고장으로 잘 알려져 있다. 3대째 이어지고 있는 발효실과 백 년이 넘은 술독이 아직도 현역으로 제 몸을 비우고 채우는 일을 계속하고 있다. 은척 양조장의 생 탁배기는 상주지역 햇 상주삼백쌀과 전통누룩을 원료로 하여 빚은 막걸리로 쌀 막걸리 특유의 부드러운 목넘김을 가지고 있으며 청량감이 일품인 막걸리다.,은자골 생 탁배기 
36,함양 개평마을에는 500년의 정통을 이어와 현재는 전통식품 제 27호 박흥선 명인이 이어가는 명가원 양조장이 있다. 예로부터 하동정씨 집안의 제사상과 경조사 때 사용하기 위하여 가장 품질 좋은 재료로만 술을 빚어왔던 노하우가 박흥선 명인에게 전해져 지금의 제조장 명가원을 이끌고 있다. 국내산 쌀과 솔잎 송순으로 빚어낸 명가원의 대표 술 솔종주를 정성스럽게 증류해 2년간 저온에서 숙성시킨 고급 전통주로 꿀을 첨가하여 부드러운 끝 맛을 가지고 있다.,담솔 
37,강쇠는 순곡과 누룩으로 약 60일 동안 전통 발효법으로 숙성시킨 후 지리산에서 자생하는 약초 복분자 오미자 산수유 하수오 구기자 산사 건강 황금 솔잎 감초 박하 10종을 엄선하여 빚은 전통주로서 뛰어난 향을 지니고 있는 제품이다. 몸에 좋은 약초를 대거 사용하여 지리산의 활달한 기운을 받은 힘좋은 남자를 뜻하는 강쇠로 제품명 지었다.,강쇠 
38,풍정사계 춘은 설기로 밑술한 법주를 발효 후 저온 숙성한 백일주이다. 잘 숙성된 누룩의 향과 특유의 배꽃 메밀꽃 어린 사과향이 있다. 12~13℃에서 최적의 맛이 살아나며 목넘김이 부드러워 도수가 낮게 느껴진다. 분위기 있는 대화에 어울린다. “진달래 활짝 폈을 때 할미꽃 제비꽃 초대해서 같이 마시고 싶은 술”이다. 2016년 대한민국 우리술품평회 약주청주 부문 최우수상을 수상한 제품이다.,풍정사계 춘 
39,세계3대주류품평회중 유일하게 2관왕을 차지한 자랑스러운 우리술 타미앙스는 대나무숯 여과 등 독특한 제조비법과 오랜 숙성을 통해나온 황금색 빛깔의 아름다움 그 자체를 만나볼 수 있다. 황금색 빛깔이 찬란한 타미앙스는 담양을 프랑스어로 부르는 말인데 담양의 특색에 맞게 대나무 숯으로 여과하여 깔끔하며 수입주류를 대체할 수 있는 주류로 각광받고 있다.,타미앙스 
40,그 해 도정한 햅쌀(100%) 와 천연 효모인 누룩으로 발효하여 저온 숙성시킨 프리미엄 탄산 탁주이다. 인공 효모와 조효소제를 사용하지 않고 100% 전통누룩을 사용함으로써 술을 빚으면 깊고 풍부한 맛과 향을 준다. 또한 잔당이 많이 남아 맛이 부드럽다. 전통누룩을 사용하는데 입국을 사용한 술보다 우리 술만의 고유한 특징이 잘녹아있다. 막걸리를 입에 한 모금 머금고 있으면 단맛 쓴맛 신맛 짠맛 감칠맛 5가지 맛을 동시에 느낄 수 있다.,이화백주 
41,한강주조는 서울쌀만을 고집해 막걸리를 빚는다. 고성용 대표와 이상욱 이사가 의기투합해 만든 나루 생막걸리는 서울에서 생산된 지역특산주 1호이다. 한강주조는 서울 강서구에서 수확한 경복궁쌀을 사용하는데 친환경 우렁이농법으로 재배된 쌀이다. 쌀의 맛과 향을 최대한 살리고자 인공 감미료를 첨가하지 않고 일반 막걸리에 비해 쌀항유량을 월등히 높인 프리미엄 막걸리다.,나루 생막걸리 6% 
42,길게 뻗은 막걸리 병을 잡고 뚜껑을 살짝 열어보는 순간 끓어 오르는 탄산이 경쾌한 소리를 내며 청량하게 올라온다. 자연스럽게 막걸리가 섞이는 신기한 광경을 지켜보다 끓어오르는 탄산이 넘쳐 흐를 것 같아 뚜껑을 다시 닫았다. 은은하게 새어 나온 향기가 복순도가 막걸리의 매력을 재촉했지만 쉼 없이 올라오는 탄산 덕분에 그마저 쉽지 않았다. 복순도가 막걸리는 쌀의 함량이 많고 누룩에 발효되는 과정 때문에 자연에서 생성되는 천연탄산이 활발하게 올라와 막걸리 병을 따로 흔들지 않아도 자연스럽게 고루 섞인다. 샴페인을 연상시키는 듯한 청량감이 주는 부드러움과 깊은 맛이 특징인 막걸리다.,복순도가 손 막걸리 
43,제조사 더한에서 제조하는 매실주는 특별하다. 국내의 다른 매실주는 5~6월경 수확되는 청매를 이용하는 반면 매실원주는 보다 완숙한 상태에서 7월경 수확되는 황매를 이용한다. 황매는 청매에 비해 향미가 뛰어나지만 고가인 단점이 있으나 최상의 원료로 최상의 재품을 만든다는 제품 철학으로 황매를 이용한다. 또한 천연꿀을 첨가하여 숙취 해소에 도움이 되어 음주 후 머리가 아프지 않은 것이 특징이다. 천매는 황매실 100%로 5년 이상 숙성 시켜 매실청과 알코올 40도의 황매실주를 브랜딩하여 만든 매실주의 최상급 제품이다.,천매 
44,뱅꼬레 로제와인은 노을을 연상시키는 분홍빛을 띄고 있으며 사과 자두 복숭아의 복합적인 과일향과 적당한 달콤새콤함이 조화로운 미디엄 바디 와인이다. 적당한 당도와 산도로 신선한 샐러드와 잘 어울리며 쌈 요리 등 한국 고유의 음식과도 잘 어울린다.,뱅꼬레 로제와인 
45,맑은내일 발효막걸리는 국내산 쌀 100%를 발효시켜서 정성껏 빚은 프리미엄 막걸리다. 1945년 창원 사화정미소로부터 이어온 노하우로 만든 창원을 대표하는 전통주 명가에서 선보이는 모던한 디자인의 술이다. 전통누룩의 함량이 높아 더욱 부드럽고 깊은 향이 나고 유산균이 빚어내는 오묘한 산미와 단맛을 지녔다.,맑은내일 발효막걸리 
46,장수 생 막걸리는 효모균이 그대로 살아 있다. 국내산 백미를 사용해 장기저온숙성 방식으로 만들어져 영양이 풍부하고 자연발효에 의한 탄산과 어울려 감칠맛과 청량감이 일품입니다. 또한 고품격 전통 막걸리의 대명사로서 트림과 숙취도 거의 없어 오랜 시간 동안 사랑을 받고 있고 있다. 장수 생 막걸리는 뚜껑이 흰색인 경우 국내산 쌀 100%를 사용한 제품이다.,장수 생 막걸리 
47,(농)국순당고창명주(주)에서 생산하는 ‘명작 복분자’는 고창군 심원면 황토 지역에서 서해안 해풍(海風)을 맞고 자란 복분자 중 당도와 과육이 뛰어난 1등급 수확분으로 빚어 단맛과 신맛이 조화를 이루어 복분자 고유의 맛과 향이 뛰어나다. 국순당 고창명주는 재료의 생산지부터 차별화된 프리미엄급 술로 국내 복분자주의 시장 경쟁력을 강화함은 물론 세계 시장 진출에도 적극적으로 나설 수 있는 역량을 지닌 전통주 제조사이다.,명작 복분자 
48,녹파주는 우리나라 최초로 발간된 요리책인 [산가요록에 실려있던 고려시대 대표주이다. 여러 고문헌에도 제조법이 수록되어 있는 것으로 보아 그 인기를 짐작할 수 있다. 잔에 담긴 모습이 마치 거울에 비친 푸른 파도같이 맑다 하여 녹파주란 이름이 붙여졌다. (주)솔송주가 농촌진흥청과 함께 현대인에 맞게 재해석한 고급약주로서 녹파주 한잔에는 깔끔함과 풍미 그리고 세련됨이 담겨 있다.,녹파주 
49,안동소주 일품 40도 골드는 전통적인 안동소주 제조방식으로 술을 빚은 후 오크통에서 한번 더 숙성시켜 브랜딩한 프리미엄 소주이다. 2015년 대한민국 우리술품평회에서 증류식소주 부문 대상을 수상 2016년 세계적인 권위의 주류품평회 몽드셀렉션에서 금상을 수상하며 그 품질력을 인정 받았다.,안동소주 일품 40도 골드 
50,복분자 생산에 알맞은 천혜의 환경으로 유명한 고창 선운산 복분자로 빚은 복분자음은 신선한 복분자만을 100% 사용하여 타제품에 비해 복분자 함량이 월등히 높아 진한 과실의 맛을 느낄 수 있는 제품이다. 2014년 대한민국 우리술품평회 과실주 부문 최우수상을 수상하며 그 제품력을 인정 받았다.,복분자음 
51,예산사과는 100여 년의 오랜 재배 역사 속에서 축적된 풍부한 경험과 정성을 바탕으로 비옥한 황토땅 풍부한 일조량 등 좋은 환경 속에서 1200여 농가가 연간 3만톤 정도의 사과를 생산하고 있다. 추사백25에 사용되는 사과는 직영농장과 예산지역에서만 생산되는 사과만을 100% 사용하고 있다.,추사백25 
52,밤꽃향기는 공주밤과 공주쌀을 저온발효하여 숙성한 후 여과한 맑은술 약주이다. 마개를 여신 후 술에서 풍기는 진한 밤 향기에 한번 놀라고 부드러운 목 넘김에 두 번 놀라고 입안 가득 밤향의 잔향으로 세 번 놀라는 고급 웰빙주이다.,밤꽃향기 
53,고운달은 오미자를 원료로 한국와인의 새로운 지평을 연 위스키 마스터 블랜더 이종기 장인에 의해 탄생한 프리미엄 증류주이다. 오미자 브랜디 고운달은 친환경 오미자로 3년을 발효 숙성한 오미자와인을 증류한 이후 추가로 3년을 숙성한 제품이다. 오미자가 가진 5가지 맛인 단맛 쓴맛 매운맛 짠맛 신맛 모두 은은하게 느껴지는 한국적인 브랜디이다.,고운달 백자 
54,토속적인 짙은 볏짚색상의 옛날 막걸리 古는 우리 정통 막걸리임을 한눈에 느껴지게 하고 있다. 병 뚜껑을 열면 우리 정통 누룩에서 기인하는 다양하고 풍부한 향을 맡을 수 있으며 그 맛 또한 깊고 진해 우리 전통 옛 막걸리의 맛을 느낄 수 있다.,옛날 막걸리 古 
