,특징,상품명
142," 1. 풍정사계란? 풍정은 옛부터 물맛 좋기로 유명한 청주시 청원구 내수읍에 단풍나무 우물(싣우물)이란 뜻이 있는 마을이다. 풍정사계는 풍정의 자연을 정성껏 술독에 담아 맛과 향이 다른 네 가지 술에 春(봄·약주), 夏(여름·과하주), 秋(가을·탁주), 冬(겨울·증류식소주)으로 사계란 이름을 지었다. 풍정사계 춘하추동은 국내산 쌀과 직접 디딘 전통 누룩(향온곡)으로 빚었다. 또한 어떠한 인공 첨가물도 가미되지 않았으며 100일이상 숙성되었다. 따라서 자연스럽고 깔끔한 맛과 향을 지녔으며 숙취가 없고 뒤끝이 깨끗하다.  2. 2016 대한민국 우리술품평회에서 2개부문 수상 제조사 화양의 이한상 대표는 2006년에 술 배우기를 시작하여 2015년 풍정사계 춘(약주), 동(증류식소주)을 출시하고 2016년 풍정사계 하(과하주), 추(탁주)를 생산한 전통주 제조사중에서는 신생 제조사에 속한다. 2016년 대한민국 우리술품평회에서 역사가 길지 않은 전통주 제조사로서는 이례적으로 풍정사계의 제품 춘과 동이 동시에 최우수상을 수상했다. 전통주에 대한 애정과 전통제조기법을 토대로 이한상 대표만의 술빚기에 대한 고집과 집념이 일궈낸 놀라운 수상결과로 앞으로 풍정사계 제품에 귀추가 주목되고 있다.,  3. 풍정사계 하(夏) 술 빚기 철학 “내 누룩을 가져야 나만의 독특한 술을 빚을 수 있다.” 풍정사계가 직접 누룩을 디디는 이유이다. 풍정사계는 초복과 중복 사이에 밀과 녹두를 섞어서 향온곡을 만들고 있다. 풍정사계에서는 일 년 사용할 누룩을 복날 디뎌서 누룩방이 아닌 시렁에서 풍정의 사계절 자연 바람을 맞혀 띄운다. 풍정의 청정한 공기 덕에 누룩에 나쁜 균이 서식하지 않아 질 좋은 누룩을 딛을 수 있다. 술이란 쌀과 누룩, 물의 조화로 이루어지는데, 그 가운데서 누룩이 가장 중요하다. 풍정사계는 처음부터 누룩으로 빚어왔고, 누룩으로 빚어 세계인에게 인정받는 명주를 탄생시키려 한다. 풍정사계가 생각하는 누룩은 술을 빚는 사람으로서의 최소한의 고집이자 원칙이다.",풍정사계 하
143," 1. 왕에게 진상된 으뜸가는 술, 문배술 고려시대, 당시 신하들은 왕에게 앞다퉈 좋은 술을 진상하여 벼슬을 얻게 되었는데 그 중 한 가문의 술이 문배술이었다. 그 가문에서는 양조비법을 비밀로 하고 왕에게만 술을 진상하여 왔으나 고려 중엽 후손들에 의해 널리 파급되었다고 한다. 일제침략기 전통주 말살 정책에도 불구하고 그 비법을 자손에게 전수하여 해방 이후부터 지금까지 5대에 걸쳐 문배술을 빚고 있다. 현재는 전통식품명인 제7호로 지정된 이기춘 명인에 의해 생산되고 있다.,  2. 시인의 붓도 던지게 하는 풍류의 술 고려 중엽의 시인 김기원은 대동강변 연광정에서 문배술로 흥을 돋구다가 대동강 동쪽으로는 끝없이 산이 이어지고, 성 한쪽으로는 강물이 질펀하게 흘러가는데라고 운필하고 한숨을 돌리기 위해 문배술을 잔에 채울 것을 청한다. 그러나 문배술의 맛에 취해 그 자리의 문배술은 동이나고 말았다. 그러자 시인 김기원은 술이 떨어지고 없으니 시흥도 일어나지 않는다면서 붓을 던지고 말았다고 한다. 이러한 이유로 이 시는 결구가 없는 영원한 미완의 시로 남게 되었다.,  3. 문배향이 가득하고 깨끗함이 오래간다 문배술은 메조와 찰수수를 이용하여 빚어낸 순곡의 증류주임에도 문배나무의 과실 향기가 난다고 하여 문배술이라고 한다. 문배술의 자랑인 술향은 인공화합물 또는 천연화합물 등의 첨가물에서 나오는 향이 아니다. 술을 제조하는 과정에서 어떠한 첨가물로 넣지 않고 깨끗이 증류한 술이다.  4. 역사적인 순간을 함께한 명품주 역사적인 남북 정상회담의 만찬 때 공식 건배주로 문배술이 선택되었다. 북한 고위급 인사들이 문배술을 처음 맛본 것은 1990년 남북 총리급 회담. 애주가로 알려진 연형묵 전 총리가 서울을 방문했을 때 만찬 석상에서 문배술의 맛을 극찬한 이후 문배술은 북한 고위층의 관심을 끌기 시작했다. 2000년 6월 14일 남북정상회담 때 공식술올 올려졌고 김대중 전 대통령과 김정일 전 국방위원장은 문배술로 건배하는 역사적인 순간을 함께 하였다.",문배술 헤리티지 40도
144," 1. 충남 당진 쌀 신평양조장에서 술을 빚는 쌀은 당진 곡창지대의 쌀로 최고급 해나루 쌀을 이용해 주 원료중에서도 그 품질을 가장 까다롭게 관리하고 있다. 지역내 쌀을 소비하여 지역사회와 함께하는 문화적 기업인 동시에 장인의 예술혼이 담긴 우리술을 빚는 백년의 양조장으로 거듭나고 있다.  2. 3대째 이어진 가업 전통이 그대로 머물러 있다면 전시품에 가까운 보존의 대상일 뿐이다. 현재를 살아가는 사람들과 소통하며 연속적으로 이어지는 전통을 맛이라는 언어로 표현하고 있으며, 양조기술 계승과 발전을 동시에 도모하고 있다. 신평양조장은 대한민국 100여 년 간의 근현대사 속에서도 우리의 전통술을 지키고자 같은자리에서 3대째 이어온 전통주의 명가로 세월의 향기를 담아 아름다운 술을 빚고 있다.,  3. 손때 묻은 양조장 신평양조장에서는 선대들의 손때가 그대로 묻어있는 80년이 훌쩍 넘은 종국실에서 과거와 같이 수작업으로 쌀누룩을 제조하고 세월을 이어온 항아리에서 정성그럽게 발효하고 있다. 동네 구멍가게 막걸리 주전자 한통의 기억처럼 우리술의 황금기가 다시 찾아오기를 바라는 마음으로 예전 모습 그대로를 지켜나가고 있다.",백련 생막걸리 Misty
145," 1. 한국에서도 브랜디가 생산된다고? 천안의 특산물하면 호두과자도 유명하지만 빼놓을 수 없는 천연특산물이 바로 거봉 포도이다. 두레앙 와인은 국내산 거봉포도의 특성을 최대한 발휘하도록 토양조건을 개선하고 와인의 맛을 살린 제품이다. 두레앙와인은 농약잔류문제를 해결하기 위해 100% 포도봉지를 씌우고 농약대신 석희보르도액을 살포하여 농약잔류 문제를 해결한 친환경 포도로 생산한 제품이다. 이러한 두레앙와인을 증류하고 오랜 기간 오크통에서 숙성한 제품이 두레앙 브랜디이다.,  2. 두레앙 와인의 변신, 두레앙 브랜디 거봉 포도 두레앙 증류주는 1996년부터 거봉 포도의 가공 식품 개발 차원에서 제조되기 시작했다. 포도향의 그윽한 향이 좋고 부드러워 마시기가 좋아 한국인의 입맛과 체질에 맞는 신토불이의 맛을 지니고 있다. 거봉 포도 와인을 증류한 순수 거봉 브랜디인 두레앙 브랜디는 2015년 대한민국 우리술품평회 기타주류 부문 최우수상을 수상하여 그 제품력을 인정 받았다.  3. 국내외 주류품평회를 석권한 와이너리의 제품 두레앙을 생산하는 두레양조는 천안 거봉포도로 빚은 와인 뿐만 아니라, 와인을 증류한 일반증류주, 오크통에서 숙성한 브랜디 등 포도로 출시할 수 있는 다양한 주종을 생산하고 있다. 그런 두레양조는 제품력에서 단연 우수한 평가를 받고 있는데 대한민국 우리술품평회 일반증류주 부문 대상 수상(2011), 최우수상 수상(2016), 2015년 대한민국 우리술품평회 기다주류 부분 최우수상 수상, 세계 3대 주류품평회 중 하나인 몽드셀렉션 2년 연속 수상(2015, 2016) 등 화려한 수상경력을 갖추고 있다.",두레앙 브랜디
146," 1. 칵테일과 담금주로 즐기는 강소주 강소주는 알코올 도수 50%의 고도주로 스트레이트로 직접 마시기 보다는 칵테일과 담금용 전용술로 제조한 술이다. 강소주로 담근술은 알코올 살균, 방부작용으로 보존성이 높고 재료의 고유 성분을 잘 추출해주어 맛과 향이 잘 우러나게 한다. 혼탁함과 침전물이 적어 고급 담금술을 만들 때 좋다. 또한 강소주를 베이스로 한 다양한 부재료를 활용하여 칵테일로 제조하여 마시면 색다른 맛을 즐길 수 있다.  2. 조선시대 궁중에서 약재를 담당하는 곳 내국 조선시대 궁중의 의약을 담당하는 관청을 내의원, 또는 내국이라 불렀다. 그 당시 술은 약용으로 처방되기도 하여 내국에서 관리하였는데 몸에 좋은 약재와 과실로 술을 빚어 왕실의 건강관리에 사용하였다. 화주의 제조사 내국양조는 한국 전통주와 약술의 복원을 사훈으로 걸고 설립한 회사로 조선시대 왕을 위해 정성껏 술을 빚은 내국의 뜻을 살려 몸과 마음이 건강해지는 술 개발에 노력하고 있다.,  3. 평창동계올림픽 개막식 VIP 만찬주로 선정되다 지난 평창동계올림픽 개막식 VIP 리셉션 만찬에서 대관령 한우 스테이크 등과 같이 나온 술이 바로 내국양조의 제품이었다. 당시 한우 스테이크와 곤드레밥과 마리아주로서의 조화가 매우 좋았다는 평가를 받았다. 개막식 사전 리셉션에는 김영남 북한 최고인민회의 상임위원장, 토마스 바흐 IOC위원장, 안토니우 구테레쉬 UN 사무총장 등 국내외 주요인사 200여명이 참석한 행사로 내국양조의 제품력을 인정받고 세계인에게 알린 계기가 되었다.",강소주
147," 1. 고려의 숨결을 불어 넣은 고문헌 전통주 아황주(鴉黃酒)는 고려시대부터 전해오던 우리술로 발효 기간이 짧고 술 빛깔이 다른 어떤 약주보다 진한 황색이며 단맛이 강한 것이 특징이다. 술의 색깔이 거위 새끼 빛의 담황색(淡黃色)을 띠고 있으며 조선 시대에도 궁중에서 이용한 술이다. 술 빚는 법을 다루었던 고문헌 역주방문 수운잡방에도 그 제조 기법이 소개되어 있으며 고려시대 문인 이규보는 그의 시에서 몽롱하게 취하여 돌아갈 길은 멀기만하구나. 나는 아황주만 부질없이 마시는데라고 쓰여 있어 고대시대에도 아황주를 즐겨 마신 것을 알 수 있다.,  2. 단맛과 신맛, 쓴맛이 어우러져 빚어낸 조화로운 맛 아황주는 마시면 중간 정도의 단맛을 느끼면서 신맛과 함께 어우러진다. 신맛이 주이고 단맛이 부인데 강한 편은 아니고 조화가 아주 좋다. 향긋한 발효향이 잠시 있으나 맛에 진다는 느낌으로 향만을 즐길 정도로 풍부하지 않지만 그 기분 좋은 느낌은 전반적으로 이어진다. 중간부터는 쓴맛이 제법 강해지는데 즐길 수 있는 선이고 아래에서는 짠맛이 의식하지 못하지만 무게를 잡아준다. 신맛과 단맛, 쓴맛, 그리고 알코올 향의 조화가 좋은 술로 마시고 나면 맑고 깨끗한 느낌이 드는 술이다.,  3. 전통주 체험프로그램을 운영하는 양조장 아황주를 생산하고 있는 최행숙전통주가에서는 일반인을 위한 전통주 체험 프로그램을 운영하고 있다. 전통주의 이론과 역사, 술원료 이야기, 술 관리 요령을 듣고 밑술과 덧술을 만드는 과정 등을 직접 체험하는 프로그램을 운영하고 있다. 양조장을 운영하는 최행숙 대표는 정작 술을 한잔도 못하지만 우리술의 우수성과 다양성을 알리는 데에는 누구 못지 않은 열정을 가지고 있다.",아황주
148," 1. 청명(淸明), 이름처럼 맑고 깨끗한 약주 청명(淸明)은 춘분과 곡우 사이에 들어 있는 24절기의 하나로 양력으로 4~5월에 해당한다. 농사일을 시작하는 때 빚어 농경이 한창인 곡우, 입하 무렵에 농주로 음용하였다. 조선시대 한강 상류의 범선 집결지인 충주 지방 일대를 오가는 과객들이 즐겨 마시기 시작하여 옛 사대부가 손님접대용은 물론 명절과 기일에 제주로 애용되었고 궁중에 진상하기도 하였다. 청명주는 도소주, 신도주, 국화주와 함께 대표적인 절기주의 하나이다.  2. 옛 문헌에서 전하는 청명주 청명주의 빚는 방법은 \주방문\ \음식보\ \임원경제지\ \양주방\ 등에 술 빚는 법을 소개하고 있다. 이익은 \성호사설\에서 나는 평생 청명주를 가장 좋아하며 청명주의 양조 방법을 혹시나 잊어버릴까 두려워서 기록해 둔다고 적었으며, 이규경은 \청명주변증설\에서 청명주는 우리나라 금천 사람만이 만들 수 있으나 금천의 물이 아니면 이룰 수 없으며 다른 지방에서는 모방해도 이와 같이 않다며 청명주만의 매력을 소개하고 있다.  3. 2015년 찾아가는 양조장으로 선정되다 청명주를 생산하고 있는 제조사 중원당은 2015년 농림축산식품부에서 선정하는 찾아가는 양조장에 선정되었다. 찾아가는 양조장은 양조장 문화체험과 지역관광을 연계하는 전통주문화체험관광상품이다. 중원당에서는 전통주 빚기 체험, 도자 빚기 체험 등이 운영되고 있으며 충북 무형문화재로 지정된 청명주의 역사와 제조방법, 청명주에 얽힌 이야기 등을 소개하고 있다.",청명주 750
149," 1. 짧지만 우수한 품질 포도산지로 유명한 영동에서 와인을 생산하고 있는 여포농장의 와인은 짧은 역사에도 불구하고 국내외 와인품평회에서 우수한 성적을 거두며 품질의 우수성을 인정받고 있다. 프랑스의 와인만큼 복잡하거나 화려하지 않지만, 국내와인의 강점만을 살려서 생산하고 있다.  2. 같은 와인 다른 포도 프랑스의 현지 식 재료로 한국의 김치 담궜다고 해도 그 김치는 한국의 맛과는 한참 거리가 있는 게 당연하다. 역시 한국의 포도를 사용해 와인을 만들면 그 맛은 서양의 와인과는 다르다는 것. 프랑스의 높은 와인 양조 기술을 배우는 것은 중요하지만 따라하고 모방하지 않는 것이 중요하다고 한다. 한국의 포도로 만든 와인이 세계의 명주와 어깨를 나란히 견줄 수 있게 만들어 내는 것이 여포농장의 꿈이다.,  3. 꿈을 꾸는 여포농장 여포농장 여인성 대표(여포)의 아내 김민제(초선)는 와인에 어울리는 음식을 제공하기 위해 영동대학교 호텔외식 조리학과를 졸업하여 세계 요리대회 수상경력도 가지고 있다. 대표는 와이너리 교육과정을 마친 것은 물론, 식품공학과 대학원을 졸업하며 국 내외 와인의 전문가와 관계도 지속적으로 넓혀왔다. 여포농장의 꿈인 사람들의 찾아오는 포도정원 세우기를 위해 노력한 세월은 한 두 해 일이 아니다.",여포의 꿈 레드 (Dry)
150," 1. 좋은 원료에 정성이 더해진 맛 좋은 막걸리 죽향 생막걸리는 담양에서 농약을 사용하지 않고 재배한 친환경쌀과 직접 띄운 전통누룩을 사용하여 빚어낸 술이다. 장기저온발효 숙성공법으로 술 속에 남아 숙취를 일으키는 아세트알데히드 성분을 제거하였다. 인공감미료 첨가를 최소화하고 본연의 전통 막걸리 맛을 살려낸 제품이다. 2016년에는 5월 남도 전통술로 선정되었던 우수한 품질의 막걸리다.,  2. 수 많은 수상이력으로 증명된 술맛과 품질 제조사 농업회사법인 (주)죽향도가에서 빚은 제품은 2010~2011년 2년 연속 전라남도 막걸리 품평회 우수상을 수상하고 2014년에는 영예의 대상을 수상하였다.같은 해 대한민국 막걸리 축제 소비자가 뽑은 막걸리에서 금상을 수상하고, 2015년 전라남도 막걸리 품평회에서 최우수상을 수상, 2019년 남도전통주품평회에서 탁주, 청주부문 각각 최우수상과 장려상 수상하였다. 이어서 같은해 대한민국 우리술품평회 탁주부문에서 당당히 최우수상을 수상하여 전라남도 담양을 넘어 한국을 대표하는 우수한 막걸리로 맛과 품질을 인정 받았다.  3. 전통과 현대가 어우러진 제조시설로 다양한 제품 생산 농업회사법인 (주)죽향도가는 전라남도 담양을 대표하는 유서 깊은 양조장 중 한곳이다. 담양 지역에서 재배된 쌀과 농임산물을 사용하는 것을 기본으로 전통방식으로 제조한 죽향도가만의 밑술로한 저온 발효공법, 그리고 위생적인 시설에서 생산된 제품은 죽향도가만의 특색을 보여주고 있다.2011년에는 국내산 쌀을 활용하고 품질이 우수한 제품을 인증하는 술품질인증을 취득하여 술맛은 기본이고 믿고 마실 수 있는 증류주, 약주, 막걸리 등 다양한 제품을 소비자에게 선보이고 있다.",대대포 생막걸리
151," 1. 문경 희양산 청정 자연에서 재배된 쌀로 빚은 술 희양산은 한 무리의 육산 속에 우뚝 솟은 바위산(암산)으로 문경에서 충북 괴산 방향으로 자리한 산이다. 그 모습이 마치 갑옷을 입은 무사가 말을 타고 있는 형상처럼 보인다는 희양산. 그 자락에 모인 ‘희양산공동체’에선 유기농 우렁이쌀을 재배한다. 쌀 소비가 줄면서 공동체의 고민도 깊어져 쌀의 새로운 소비처가 필요하다는 생각에 술을 빚기로 하고 많은 연구와 시행착오 끝에 생산된 술이 바로 희양산 막걸리다.  2. 단맛과 신맛, 알코올의 균형감이 탁월하다. 우렁이쌀로 이양을 해서 만들어내는 희양산막걸리는 밑술에 대략 5일 정도가 걸리고, 덧술을 해서 3주 정도 발효시킨다고 한다. 이후 저온 창고에서 1달가량 숙성시켜 일반에 공급하고 있는 그의 술은 알코올 도수 9도와 15도 두 종류다. 독학으로 술을 빚은 두술도가 김두수 대표의 술은 담백하다. 알코올감과 멥쌀만으로 술을 빚음에도 불구하고 단맛과 신맛, 그리고 알코올감의 균형감이 탁월하다.  3. 아트콜라보레이션으로 젊은 소비자에게 인기 희양산 막걸리의 라벨은 희양산공동체에 속한 전미화 작가의 그림으로 채워져 있다. 두술도가의 희양산막걸리가 전통주점 등에서 화제가 되는 이유는 술맛에도 있지만, 술의 라벨이 지닌 예술성이 한몫한다. 공동체 내에 동화를 그리는 전미화 작가의 작품으로 막걸리의 라벨을 만들면서 주변의 관심을 끌기 시작한 것이다. 투박하고 촌스럽기만 한 기존 막걸리 라벨만 보던 젊은 소비자들도 그 자체를 힙스터적 요소로 받아들이게 된다.",희양산막걸리 15%
152," 1. 3대를 잇는 경남 창원을 대표하는 양조명가. 1945년 창원시 사화동에 문을 연 작은 정미소를 시작으로 정미한 쌀을 마을 사람들과 나누고 약수를 길어 막걸리를 빚었다. 그렇게 2대, 3대로 이어지고 있는 제조사 우포의 아침은 선조가 물려준 발효기술과 70여년 동안 응축된 양조에 대한 신념으로 전통과 현대를 잇는 술을 생산하고 있다. 소비자에게 친근하게 다가가는 술, 술 한잔의 가치를 생각나게 하는 술을 빚고 있는 창원을 대표하는 유구한 양조명가이다.  2. 겨울연가 막걸리로 제2의 전성기를 열다. 현재 우포의 아침을 이끌고 있는 박중협 대표는 2011년 창원대학교와 공동으로 자회사인 국내 최초 산학관 제조법인 우포의 아침을 설립하고 창녕공장을 건립한다. 이듬해 2012년 드라마 겨울연가가 일본에서 큰 방향을 일으키고 있을 때 겨울연가 막걸리를 출시하였다. 일본에서 선풍적인 인기로 그 해 경상남도 수출 유공탑을 수여받고 전통주의 발효기술과 농축기술을 토대로 건강음료, 발효식품 제조 등으로 사업을 확정하며 제2의 중흥기를 열었다.  3. 체험형 복합공간 맑은내일 발효공장 2018년 젊은세대에게 전통주를 알리고 경험하게 할 수 있는 전통주펍 맑은내일 발효공장을 오픈하였다. 세련된 분위기에서 전통 누룩으로 만든 프리미엄 막걸리를 마셔볼 수 있는 공간이다. 앞서 2017년에는 창원 북면에 있던 양조장을 복합문화공간을 만들어 양조시설, 우포의 아침의 양조 역사를 살려볼 수 있고 생산하는 제품을 시음하고 구매할 수 있다.",맑은내일 우포
153," 1. 전통의 깊은 맛 안동소주의 유래 안동소주를 비롯한 소주는 고려시대 권문세가 사이에 유행하기 시작했으며 민간요법으로 배앓이, 독충에 물린 데는 소주를 발라 치료하는 등 약용으로 사용되었다는 점이 특이하다. 또한, <조선명인전>에는 연산군 때 안동으로 귀향 왔던 농암 이현보 선생이 중종반정 후 지평으로 복직되어 불요불굴의 정신으로 직무에 충실하여 동료 간에 소주도병이라는 별명을 얻었다는 기록에서 소주의 역사적 일단을 볼 수 있다. 안동소주는 특히 맛과 향이 일품이다. 의서에서는 소주가 약용으로 사용되었다는 기록과 함께 현재 안동 지역민의 제보에서도 안동소주를 상처에 바르고, 배앓이, 식욕부진, 소화불량 등의 약으로 활용하기도 했다고 한다.  2. 박재서 명인이 빚는 소주의 예술 명인 안동소주는 전통식품명인 6호로 지정된 박재서 명인이 안동소주 본연의 맛을 예술의 경지까지 끌어올린 제품이다. 안동지방 고지대 지하 암반 270m에서 뽑은 천연암반수에 쌀누룩의 매캐한 냄새를 고감도 기술로 잡고 오랜기간 숙성 하여 부드럽게 순화시킨 순곡 증류주이다. 특히 현대인의 기호에 맞게 필수적으로 첨가되는 누룩을 만들어 공기접촉에 따른 산화현상으로 생기는 쌀 특유의 화근내를 제거했다. 다른 안동소주의 제조과정인 막걸리 상태에서 증류한 2단 방식과는 달리 청주를 한번 더 발효시켜 증류한 것으로 깊은 맛과 향이 월등하다.  3. 대한민국 우리술품평회 대상에 빛나는 명품술 명인 안동소주의 명성은 소비자에게만 그치지 않고 많은 주류품평회에서도 인정 받았다. 2010년 대한민국 우리술품평회 증류식소주 부문 최우수상을 시작으로 시민이 뽑은 좋은술 품평회 대상(2010), 이듬해 2011년 대한민국 우리술 품평회 증류식소주 부문 최우수상, 그리고 2012년에는 증류식소주 부문 대상을 수상하기에 이른다. 전통기법의 제조방식을 고수하면서도 제조시설 현대화와 소비자의 기호에 맞는 끊임없는 제품개발이 이뤄낸 성과이다.",명인 안동소주 22도
154," 1. 100년의 역사 논산의 작은 양촌마을에서 3대에 걸쳐 100년을 이어온 전통 양조법으로, 40년 경력의 양조장인의 손맛이 살아 숨쉬는 술을 빚고 있는 양촌양조. 1920년 故이종진이 가내주조를 시작해 1930년 현재의 주조장을 설립, 3대째 그 명맥을 이어가고 있다. 1930년 건립된 주조장은 건축 시 막걸리 주조를 위해 설계된 목조건물로, 재래식 자연 통풍구조를 갖추어 막걸리 주조 시 발생되는 상승온도와 습도 등을 자연적으로 조절할 수 있도록 설계되었다.  2. 우렁이 쌀 양촌 우렁이쌀 손 막걸리는 충남 논산시 은진면 와야리의 농가와 함께 우리술의 상생을 적극 도모하고자 만든 술이다. 또한, 건양대 전통주 사업단과의 산학협동을 통해 과학적이고 체계적인 방법을 통해 우렁이 쌀로 만든 새로운 국을 개발하였으며, 장기 저온 숙성으로 맛의 일관성이 높아져 믿을 수 있는 수제 막걸리다.  3. 장기저온 숙성 양촌양조의 술은 쌀 막걸리 특유의 누룩 한 맛을 잡을 때 흔히 사용하는 합성감미료 아스파탐의 단맛을 사용하지 않는다. 막걸리를 빚을 때 30일 이상의 장기간 저온 숙성을 통해 그 누룩 한 맛을 잡고 있기 때문인데, 장기간 저온숙성을 하게 되면 쌀 특유의 비린 맛도 없지만 부드러운 목 넘김과 깔끔한 뒷맛을 가지게 된다.  4. 찾아가는 양조장 양촌양조장은 찾아가는 양조장으로 선정되 기존에 사용하던 시설을 다시 경험할 수 있는 공간으로 만들어 오랫동안 사용하지 않던 공간을 다시 복원해 체험과 전시의 공간으로 꾸미고 있다. 숙성 과정은 민감하기 때문에 체험할 수는 없지만, 많은 사람이 양조장을 조금 더 친숙하게 방문할 수 있도록 내부 곳곳을 경험해 볼 수 있다. 찾아가는 양조장 문의는 전화를 통해 가능하다.",양촌 우렁이쌀 손 막걸리
155," 1. 뽕나무 열매 오디, 뽕나무 열매 오디는 안토시아닌 색소의 보고로 허준의 동의보감에 의하면 눈을 밝게해주고 백발을 검게한다라고 불리며 귀한 몸으로 여겨졌던 활력의 과실이었다. 이 오디로 담그는 오디주는 예로부터 선인주, 상심주 라는 이름으로도 불리기도 했으며, 최근에는 웰빙식품에 대한 관심이 많아지면서 블랙푸드의 일종인 오디열매가 주목을 끌고 있다.,  2. 깐깐한 원료 관리 까다로운 선별을 통해 1등급 오디만을 선별한 뒤 만들어 내는 술은 오디 생과를 그대로 급속 냉동하여 영양소 파괴를 최소화 하고 맛이 진할 뿐 아니라 부드럽기까지 하다. 또한, 술을 빚는 과정에서 색소와 보존료를 첨가하지 않고 양조하여 건강함을 한번 더 생각한다.  3. 다양한 수상경력 국순당 고창명주는 2016년 대한민국 우리 술 품평회, 벨기에 세계와인평가대회, 샌디에고 와인대회 등 여러차례 수상한 이력을 가지고 있는 양조장으로 미국, 유럽, 중국뿐 아니라 여러 아시아 국가에도 수출하며 우리의 술을 널리 알리고 있다.",오디랑
156," 1. 전통의 깊은 맛 안동소주의 유래 안동소주는 신라시대부터 그 기원을 잡는다. 증류기술은 아랍지역의 연금술사들에 의해서 발명되었는데, 당시 신라는 아랍과 활발한 중계무역을 벌여왔다. 신라 괘릉에서 출토되는 이국적 용모를 한 무인상과 페르시아 유리잔은 신라와 아랍과의 관계를 증명한다. 이때 페르시아 유리잔과 함께 증류주의 제조법이 전래되어 왔다. 또한 중국은 당나라 때부터 증류식 술을 마셔왔다고 하는데, 신라와 당과의 밀접한 관계를 통해 증류식 술이 신라시대부터 마셔왔다는 것을 알 수 있다. 또한 [조선명인전에는 연산군때 안동으로 귀양왔던 농암 이현보 선생이 중종 반정 후 지평(持平)으로 복직되어 불요불굴의 정신으로 직무에 충실하여 동료간에 소주도병(燒酒陶甁)이라는 별명을 얻었다는 기록에서 소주의 역사적 일단을 볼 수 있다. [의서(醫書)에서는 소주가 약용으로 사용되었다는 기록과 함께 현재 안동 지역민의 제보에서도 상처에 소주를 바르고 배앓이, 식용증진, 소화불량에 소주를 사용했다고 한다.  2. 조옥화 명인이 빚는 소주의 예술 민속주 안동소주는 민속주 중 알콜도수가 가장 높은 45도의 순곡주이며 안동소주 고유의 은은한 향취에다 감칠맛이 특징이다. 그래서 도수는 높지만 담백하게 느껴지며 뒷맛도 개운하기 그지없다. 제조 방법은 먼저 자체적으로 누룩을 만들고, 멥쌀을 불려 시루에 쪄 고두밥을 짓고, 찐 고두밥과 파쇄한 누룩을 물과 합쳐 자연 숙성 시키면 안동소주의 전술이 완성된다. 이것을 증류하면서 안동소주의 전통 그대로 45도로 맞추면 민속주 안동소주가 완성된다. 이렇게 완성된 안동소주는 시간이 지날수록 더욱 깊은 맛을 내는 특징을 가지고 있다.  3. 식품명인이 만든 무형문화재, 민속주 안동소주 고 조옥화 기능보유자(무형문화재 제12호, 전통식품명인 제20호)의 오랜 노력 끝에 조선시대 진상주 완벽 재현에 성공한 민속주 안동소주는 전통성 유지를 위해 오직 45% 안동소주만 생산한다. 술을 빚는데 가장 중요한 것이 누룩인데, 직접 만들어 사용하는 곳은 민속주 안동소주밖에 없다. 또한 여러 번 되풀이되는 연속 증류방식으로 만들어지면서 불순물이 완벽하게 제거돼 오래 보관할 수록 풍미가 더욱 좋아지는 것이 특징이다. 민속주 안동소주는 45%의 고도주임에도 마신 뒤 향기가 입안에 은은하게 퍼져 입안을 개운하게 해 주고 마시고 난 뒤 숙취가 전혀 없다.",민속주 안동소주
157," 1. 약천골 지장수 낙천의 막걸리는 쌀을 지장수에 발효시키고 있다. 황토 땅을 판 뒤에 물을 붓고 휘저어 인위적으로 채취하는 일반적인 지장수와는 다르게 약천골 지장수는 지질학적으로 5억년 전 지하 145m의 황토암반층에서 자연적으로 생성된 지장수로, 암반층의 미네랄까지 함유하고 있는 특징이 있다. 막걸리 원재료 중에서도 가장 중요한 물맛은 약천골 지장수로 보장되는 셈이다.,  2. 강원도 특산품 전통을 계승하는 동시에 한발 더 발전하기 위해 끊임없는 연구와 고심으로 뭉친 낙천의 노력은 2016년 11월 강원도 특산품으로 결실을 맺어 지역위상을 드높이고 있다. 강원도의 특산 막걸리로의 책임감과 자부심이 담긴 막걸리, 낙천 막걸리다.",지장수 호박 막걸리
